"","tan","greenyellow","purple","turquoise","grey60","darkred","cyan","green","magenta","plum1","blue","brown","red","salmon","skyblue","paleturquoise","yellow","black","darkolivegreen","darkgreen","white","lightgreen","darkturquoise","lightyellow","midnightblue","violet","pink","sienna3","darkorange2","darkmagenta","orange","brown4","lightcyan","saddlebrown","darkorange","orangered4","lightcyan1","bisque4","floralwhite","yellowgreen","royalblue","darkslateblue","thistle1","ivory","darkgrey","thistle2","mediumpurple3","steelblue","skyblue3","plum2","lightsteelblue1"
"Vitvi07g00283",0,0,0,0.00415192987851761,0,0,0,0.00471142520612485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00523",0.00166805671392827,0.000766283524904215,0,0,0.000905797101449275,0,0,0,0,0,0.170555296313579,0.00476190476190476,0,0.000850340136054422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g00890",0,0,0,0,0,0,0,0.00107642626480086,0,0,0,0,0,0,0,0,0.120224719101124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01267",0,0,0,0.118216756341276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00417536534446764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01315",0.0148148148148148,0.00307219662058372,0,0,0,0,0,0,0.00142247510668563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119515885022693,0,0,0,0,0,0,0,0,0,0,0,0,0.0100502512562814,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01342",0,0,0,0.0566554980201036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01407",0,0,0,0.00722743349223435,0,0,0,0.00114678899082569,0,0,0,0,0,0,0,0,0.00213219616204691,0,0,0,0,0,0,0,0,0,0,0,0.00854700854700855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01719",0,0,0.0211382113821138,0.0019963144963145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01829",0.00264084507042254,0.00484652665589661,0,0,0.00288461538461538,0,0,0,0,0,0.155550373134328,0.00218221494817239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g02323",0,0,0,0,0,0,0,0.00105263157894737,0,0,0,0,0,0,0,0,0.143820224719101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g03086",0.00186915887850467,0,0.101777059773829,0,0,0,0,0,0,0,0.00345861194373991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137551581843191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g00795",0.0184049079754601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0799031476997579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g00957",0,0,0,0.00076816715317253,0,0,0.0185614849187935,0.00119617224880383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123456790123457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01235",0,0,0,0,0,0,0,0.00322927879440258,0,0,0,0,0,0,0,0,0.118701007838746,0,0,0,0,0.00235849056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01333",0,0,0,0.00275313551544815,0,0,0,0.0115074798619102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116550116550117,0,0,0,0,0,0,0,0,0,0,0,0.10762331838565,0,0,0,0,0,0
"Vitvi08g01617",0,0,0,0.00276370336250576,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01846",0,0,0,0.000461183704842429,0,0,0,0,0,0,0,0,0.00794701986754967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01897",0,0,0,0.00599630996309963,0,0,0,0.00580720092915215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g02218",0,0,0,0.00182676206424113,0,0,0,0.0622796709753232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0
"Vitvi08g02288",0,0,0,0.000152648450618226,0,0,0,0,0,0,0,0,0.00374064837905237,0,0,0,0,0,0,0,0,0,0,0,0.101204819277108,0,0.0100864553314121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g00419",0,0.00606980273141123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150306748466258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g00867",0,0,0,0.00182898948331047,0,0,0,0.0704898446833931,0.00145985401459854,0,0,0,0,0,0,0,0.00208116545265349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
