"","lightyellow","brown","black","turquoise","darkred","lightcyan","bisque4","green","yellow","blue","violet","red","darkgreen","plum1","maroon","sienna3","paleturquoise","magenta","lavenderblush3","white","midnightblue","darkseagreen4","yellowgreen","darkturquoise","darkslateblue","cyan","salmon","purple","orangered4","darkorange2","lightsteelblue1","greenyellow","tan","brown4","skyblue","orange","grey60","floralwhite","ivory","royalblue","skyblue3","palevioletred3","plum2","darkolivegreen","pink","darkorange","honeydew1","darkmagenta","lightgreen","navajowhite2","coral2","steelblue","thistle1","darkgrey","saddlebrown","mediumpurple3","antiquewhite4","salmon4","thistle2","coral1","lightcyan1","lightpink4"
"Vitvi07g01407",0,0,0,0.00750918677104969,0,0,0,0,0.00115340253748558,0,0.028436018957346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01718",0,0.0468933177022274,0,0.000634517766497462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229007633587786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g01719",0,0.0245614035087719,0,0.000636233497693654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277227722772277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g02832",0,0,0,0.0163725957717374,0,0,0,0.00105596620908131,0,0,0.0132890365448505,0,0,0,0,0,0,0,0,0,0.00193423597678917,0,0,0,0,0,0.0672097759674134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g03086",0,0.0997652582159624,0.00789473684210526,0,0,0,0,0,0,0.00194678780012979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g00957",0,0,0,0.000637856801148142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133928571428571,0,0,0,0,0,0,0,0,0,0,0,0.0127388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0.0153139356814701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01333",0,0,0,0.000952834683182468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160965794768612,0,0,0,0,0,0,0,0.00586510263929619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112280701754386,0,0,0,0,0,0,0.0181818181818182,0
"Vitvi08g01617",0,0,0,0.003511011809767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0,0,0,0,0,0,0,0,0,0.016597510373444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332225913621262,0,0,0,0,0,0,0,0
"Vitvi08g01846",0,0,0,0.00111803226321674,0,0.0026525198938992,0,0,0.00241545893719807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202020202020202,0,0,0,0,0,0,0,0,0.0146627565982405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01897",0,0,0,0.0049568276303166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423728813559322,0.00245098039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g02218",0,0,0,0.00126522220464969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00354609929078014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114114114114114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987261146496815,0,0,0,0,0,0.00833333333333333,0,0
"Vitvi08g02288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g00419",0.00247524752475248,0,0.00394218134034166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003125,0,0,0,0,0,0,0,0,0,0.00173310225303293,0,0,0,0,0.193023255813953,0,0,0,0.019047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g00867",0,0,0,0.0052439218178929,0,0,0,0.00113765642775882,0,0,0,0,0,0,0,0,0,0,0,0.120967741935484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280898876404494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g01646",0,0,0.00148588410104012,0,0,0,0,0,0,0.00154423119347011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g01698",0,0.0262216924910608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228310502283105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g04280",0,0,0,0.000793650793650794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218009478672986,0,0,0,0,0,0,0,0,0,0,0,0.00396039603960396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g04564",0,0.0906949352179034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215439856373429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
