"","magenta","pink","turquoise","cyan","salmon","blue","purple","red","yellow","bisque4","brown","plum2","violet","green","greenyellow","black","mediumpurple3","midnightblue","skyblue3","steelblue","darkred","royalblue","grey60","thistle2","skyblue","yellowgreen","saddlebrown","paleturquoise","darkmagenta","lightcyan","darkolivegreen","darkgreen","tan","palevioletred3","darkorange","orange","ivory","white","thistle1","darkslateblue","darkorange2","lightyellow","darkturquoise","darkgrey","maroon","floralwhite","sienna3","brown4","lightgreen","lightsteelblue1","plum1","navajowhite2","orangered4","lightpink4","salmon4","lavenderblush3","lightcyan1"
"Vitvi02g00446",0.00108932461873638,0,0,0,0,0.0989826197541331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139082058414465,0,0,0,0,0,0,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0,0,0.00303951367781155,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g01355",0,0,0.0716353111432706,0,0,0,0,0,0.00881410256410256,0,0,0,0,0,0,0.0209020902090209,0,0.00842696629213483,0,0,0,0,0,0,0,0,0,0.0050761421319797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g01360",0,0,0.000545652964714442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068259385665529,0,0,0,0,0,0,0.0386740331491713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04106",0.000999000999000999,0,0,0,0,0.115865282779072,0,0,0,0,0.00263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405405405405405,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04134",0,0,0,0,0,0,0,0.00155763239875389,0,0,0,0,0,0.197160883280757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04135",0,0,0,0,0,0,0,0.00154559505409583,0,0,0,0,0,0.205047318611987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00404040404040404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00692",0,0,0.0862944162436548,0,0,0,0.00105932203389831,0.0069101678183613,0.000754147812971342,0,0,0,0,0,0,0.00201207243460765,0,0.00255102040816327,0,0,0,0,0,0,0.0195195195195195,0,0,0,0,0,0,0,0,0,0.00146198830409357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g01258",0,0,0.000723196528656662,0,0,0,0,0.0162454873646209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004149377593361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0
"Vitvi03g01809",0.00559701492537313,0.00185873605947955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219948849104859,0,0,0,0,0,0,0,0,0,0,0.00719424460431655,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g04266",0,0,0.00433996383363472,0,0,0,0,0.0698529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100671140939597,0,0,0,0,0,0,0,0
"Vitvi03g04466",0,0,0.00145269656800436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693877551020408,0,0,0,0,0,0,0,0
"Vitvi04g00017",0,0,0.00819373634377276,0,0,0,0,0,0.00229885057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01325",0.01440329218107,0,0,0,0,0.000210172341319882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130434782608696,0,0,0,0,0,0.152173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01375",0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135746606334842,0,0,0,0,0,0.132743362831858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01550",0,0,0,0,0,0.188891244435022,0,0,0,0,0.00107411385606874,0,0,0,0,0,0,0,0,0,0,0,0.000875656742556918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000924214417744917,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01887",0,0,0,0,0,0.074623701505194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g02114",0,0,0.00309428467419003,0,0,0,0.00215982721382289,0.00747663551401869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04010",0,0,0.000180245133381399,0,0,0,0,0.109615384615385,0,0,0,0,0,0.00289435600578871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04011",0,0,0.000540151242347857,0,0,0,0,0.122840690978887,0,0,0,0,0,0.00142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04029",0,0,0.00127272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452674897119342,0,0,0,0,0,0,0,0
"Vitvi05g00108",0,0,0,0,0,0.0909862142099682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295420974889217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g00675",0,0.00158730158730159,0,0,0,0.0383799830364716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00232018561484919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00238663484486874,0,0,0,0,0,0,0,0
"Vitvi05g00726",0,0,0,0,0,0.00995340957221516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,0,0,0,0,0.00455580865603645,0,0,0,0,0,0,0,0,0,0,0.0252100840336134,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g01579",0.00191570881226054,0.00191570881226054,0,0,0,0,0,0,0,0,0,0,0,0,0.00409836065573771,0,0,0,0,0,0.0262172284644195,0,0,0,0,0,0,0,0,0,0,0,0.138271604938272,0,0,0,0,0,0,0,0,0,0,0.0352941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g01674",0.0256410256410256,0,0,0.00239234449760766,0,0.0106806282722513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140449438202247,0,0,0,0,0,0,0,0,0,0.0246913580246914,0,0,0,0,0,0,0,0,0,0,0.11070110701107,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g02234",0,0,0,0,0,0,0,0.00166112956810631,0,0,0,0,0,0.1234375,0,0,0,0,0,0,0,0,0,0,0.0155038759689922,0,0.00387596899224806,0,0,0,0,0,0,0,0.00374531835205993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04062",0.00402414486921529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103535353535354,0,0,0,0,0,0,0,0,0,0,0.038961038961039,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04232",0.0105042016806723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00432900432900433,0.012448132780083,0,0,0,0,0,0,0,0,0,0,0.00239234449760766,0,0,0.00454545454545455,0,0,0,0,0,0.0454545454545455,0,0.0571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04487",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979462875197472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04494",0,0,0,0,0,0,0,0.0016366612111293,0,0,0,0,0,0.146456692913386,0,0,0,0,0,0,0,0,0,0,0.0037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi06g01410",0,0,0.0109031437397783,0,0,0,0.0137524557956778,0.0102564102564103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00401606425702811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
