"","green","brown","pink","turquoise","tan","purple","magenta","blue","red","midnightblue","salmon","darkturquoise","yellow","greenyellow","darkred","black","orange","royalblue","lightyellow","lightgreen","cyan","lightcyan","grey60","darkgreen","darkgrey"
"Vitvi11g00286",0,0,0,0.018627713749665,0,0,0,0,0,0,0,0,0.0317662007623888,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi11g01637",0,0,0,0.000134408602150538,0,0,0,0,0,0,0,0,0.0117484450587422,0,0,0,0,0,0,0,0.0024330900243309,0,0.0609756097560976,0,0
"Vitvi12g00368",0,0,0,0.000669612963706977,0,0,0,0,0,0,0,0,0.0381944444444444,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g01881",0,0.0242290748898678,0.00552486187845304,0,0,0,0,0.0171248310049572,0,0,0,0,0,0,0,0,0,0,0.00387596899224806,0,0,0,0,0,0
"Vitvi12g01882",0,0.0171330668189606,0.00241254523522316,0,0,0,0,0.00339366515837104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g01921",0.0394207562349155,0.000559910414333707,0.00359712230215827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g02011",0.0296712109061748,0.00225352112676056,0.00484848484848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g04108",0.0662939297124601,0.0066006600660066,0.00113765642775882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g04404",0.0731511254019293,0.00219058050383352,0.00113765642775882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g04463",0.0449438202247191,0.00223089793641941,0.00355450236966825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g04498",0.0418679549114332,0.000559284116331096,0.002389486260454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g04515",0.0250201775625504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g04543",0.0100541376643465,0.000555555555555556,0.0664160401002506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g04545",0.0336,0.000559910414333707,0.0120918984280532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g04595",0,0,0,0,0,0,0,0,0,0,0,0,0.0173490631505899,0,0,0.00715137067938021,0,0,0,0,0,0,0,0,0
"Vitvi12g04598",0.0586345381526104,0.00332042058660764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi12g04607",0.0651649235720032,0.00110071546505228,0.00230680507497117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi13g00551",0,0,0,0.0105149636020491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223214285714286,0,0
"Vitvi13g01098",0,0.0135640785781104,0,0,0,0,0,0.0907239819004525,0,0,0,0,0,0,0,0,0,0,0.00354609929078014,0,0,0,0,0,0
"Vitvi13g01468",0,0,0,0.00053184416965829,0,0.0210378681626928,0,0,0,0,0,0,0.0624571036376115,0,0,0.00216216216216216,0,0,0,0,0,0,0,0,0
"Vitvi13g01608",0,0,0,0,0,0,0,0,0,0,0,0,0.0187760778859527,0,0,0.00356718192627824,0,0,0,0,0,0,0,0,0
"Vitvi13g01616",0,0,0,0.000804721030042918,0,0,0,0,0,0,0,0,0.0298196948682386,0,0,0.00115874855156431,0,0,0,0,0,0,0,0,0
"Vitvi13g01638",0,0,0,0.00147433319930304,0,0,0,0,0,0,0,0,0.0338865836791148,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi13g01984",0,0,0,0.000268024658268561,0,0,0,0,0,0,0,0,0.034794711203897,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi13g02083",0,0,0,0.000666844491864497,0,0.0187590187590188,0,0,0,0,0,0,0.0495185694635488,0,0,0,0,0,0,0,0,0,0,0,0
