"variant","method","matrix","module","size"
"WGCNA_unprotected_power10","WGCNA","unprotected","plum1",112
"WGCNA_unprotected_power10","WGCNA","unprotected","sienna3",120
"WGCNA_unprotected_power10","WGCNA","unprotected","palevioletred3",67
"WGCNA_unprotected_power10","WGCNA","unprotected","royalblue",228
"WGCNA_unprotected_power10","WGCNA","unprotected","skyblue1",37
"WGCNA_unprotected_power10","WGCNA","unprotected","lightcyan1",96
"WGCNA_unprotected_power10","WGCNA","unprotected","lightgreen",285
"WGCNA_unprotected_power10","WGCNA","unprotected","darkslateblue",85
"WGCNA_unprotected_power10","WGCNA","unprotected","saddlebrown",155
"WGCNA_unprotected_power10","WGCNA","unprotected","plum2",81
"WGCNA_unprotected_power10","WGCNA","unprotected","darkseagreen4",49
"WGCNA_unprotected_power10","WGCNA","unprotected","darkturquoise",213
"WGCNA_unprotected_power10","WGCNA","unprotected","navajowhite2",67
"WGCNA_unprotected_power10","WGCNA","unprotected","cyan",332
"WGCNA_unprotected_power10","WGCNA","unprotected","maroon",58
"WGCNA_unprotected_power10","WGCNA","unprotected","brown4",90
"WGCNA_unprotected_power10","WGCNA","unprotected","steelblue",148
"WGCNA_unprotected_power10","WGCNA","unprotected","orangered4",110
"WGCNA_unprotected_power10","WGCNA","unprotected","lightsteelblue1",99
"WGCNA_unprotected_power10","WGCNA","unprotected","paleturquoise",142
"WGCNA_unprotected_power10","WGCNA","unprotected","ivory",95
"WGCNA_unprotected_power10","WGCNA","unprotected","salmon4",73
"WGCNA_unprotected_power10","WGCNA","unprotected","darkolivegreen",125
"WGCNA_unprotected_power10","WGCNA","unprotected","yellowgreen",119
"WGCNA_unprotected_power10","WGCNA","unprotected","skyblue3",112
"WGCNA_unprotected_power10","WGCNA","unprotected","darkorange",203
"WGCNA_unprotected_power10","WGCNA","unprotected","yellow4",37
"WGCNA_unprotected_power10","WGCNA","unprotected","antiquewhite4",44
"WGCNA_unprotected_power10","WGCNA","unprotected","thistle1",75
"WGCNA_unprotected_power10","WGCNA","unprotected","coral1",47
"WGCNA_unprotected_power10","WGCNA","unprotected","coral2",44
"WGCNA_unprotected_power10","WGCNA","unprotected","mediumorchid",44
"WGCNA_unprotected_power10","WGCNA","unprotected","floralwhite",95
"WGCNA_unprotected_power20","WGCNA","unprotected","magenta",447
