"","mediumpurple3","yellow","magenta","turquoise","grey60","cyan","orangered4","black","green","brown","blue","orange","darkred","sienna3","navajowhite2","steelblue","red","tan","darkmagenta","pink","greenyellow","darkgrey","darkorange","yellowgreen","skyblue","salmon","darkturquoise","plum2","darkorange2","royalblue","honeydew1","darkolivegreen","saddlebrown","purple","lightcyan","salmon4","thistle1","plum1","lightgreen","lightcyan1","floralwhite","lightpink4","white","ivory","brown4","paleturquoise","violet","midnightblue","darkslateblue","palevioletred3","lightyellow","darkgreen","lightsteelblue1","skyblue3","bisque4","thistle2","lavenderblush3","maroon"
"Vitvi01g04056",0,0,0,0.0111966410076977,0,0,0,0,0.114219114219114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04115",0,0,0,0.00725663716814159,0,0,0,0,0,0,0,0,0,0,0,0,0.00132450331125828,0,0,0.00457317073170732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774193548387097,0,0,0,0,0,0,0,0,0,0,0,0,0.0119760479041916,0,0,0,0,0,0,0,0,0,0
"Vitvi01g04132",0,0,0,0.00017749378771743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00404858299595142,0,0,0,0,0,0,0,0,0,0,0,0.0675675675675676,0,0,0,0,0,0,0
"Vitvi02g00032",0,0,0,0.181689141234918,0,0,0,0,0,0,0,0,0,0,0,0,0.00232423009877978,0.00995024875621891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00056",0.094488188976378,0.00454545454545455,0.0125,0,0,0,0,0,0,0,0.000530644733351021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,0,0,0,0
"Vitvi02g00086",0,0,0,0.0115330021291696,0,0,0,0.00545702592087312,0.0138728323699422,0,0,0,0,0,0,0,0.00130718954248366,0,0,0,0.00211864406779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00429",0,0.00463320463320463,0,0,0,0,0,0,0,0.00172413793103448,0.122487268828732,0,0.00439882697947214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g00446",0,0.0239316239316239,0,0,0,0,0,0,0,0.00061012812690665,0.0887526652452026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00704225352112676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g01355",0,0,0,0.0488495575221239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361990950226244,0,0,0.00867052023121387,0.00397614314115308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g01360",0,0,0,0.00284596229099964,0,0,0,0,0.00493827160493827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
