"","salmon","brown","magenta","turquoise","greenyellow","royalblue","tan","black","red","floralwhite","blue","yellow","pink","skyblue3","steelblue","green","yellowgreen","darkorange","darkgrey","lightcyan","grey60","skyblue","paleturquoise","mediumpurple3","darkgreen","purple","cyan","darkmagenta","white","thistle2","sienna3","lightyellow","maroon","midnightblue","navajowhite2","saddlebrown","lightgreen","lightcyan1","thistle1","bisque4","honeydew1","orange","brown4","lightpink4","plum1","darkred","ivory","darkslateblue","violet","salmon4","plum2","darkturquoise","lightsteelblue1","orangered4","palevioletred3","darkolivegreen","coral1","darkseagreen4","lavenderblush3","darkorange2"
"Vitvi04g04029",0,0,0,0.0001595914458985,0,0,0,0,0.0048721071863581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0.0514018691588785,0,0,0,0,0,0,0,0
"Vitvi05g00108",0,0.00350262697022767,0,0,0,0,0,0,0,0,0.0992758701238028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g00675",0,0.00821917808219178,0.00147275405007364,0,0.00169491525423729,0,0,0,0,0,0.0393939393939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00190114068441065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g00726",0.0183908045977011,0.00373412994772218,0,0,0,0,0,0,0,0,0.0100279850746269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g01579",0.0288888888888889,0,0.00175131348511384,0,0,0,0,0,0,0,0,0,0.00517464424320828,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145631067961165,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g01674",0.0752688172043011,0.0233747260774288,0,0,0,0,0,0,0,0,0.00919963201471941,0.00164473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00686106346483705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g02234",0,0,0,0.00047378395451674,0,0,0,0.00117233294255569,0,0,0,0,0,0,0,0.0955710955710956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04062",0.0477326968973747,0.000746825989544436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626262626262626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04232",0.0293398533007335,0.00379650721336371,0,0,0,0,0,0,0,0,0,0,0.00136239782016349,0,0,0,0,0,0,0,0,0,0,0.0148148148148148,0,0.0019723865877712,0,0,0,0,0,0,0,0,0,0,0.0033003300330033,0,0,0,0,0.0491071428571429,0,0,0,0,0,0,0.00602409638554217,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g04487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725995316159251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
