"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g00167"	0.209231695362334	0.144360648336321	0.4	0.348723132424871	0.621776061776062	-0.209231695362336	"D7T9H2"
"Vitvi01g00168"	-0.132547388913967	0.0367578120684035	0.1	0.188994289568062	0.263508206625717	0.132547388913967	"F6HF48"
"Vitvi01g00169"	0.222426368657853	0.120797332932437	0.1	0.322763467991521	0.263508206625717	-0.222426368657853	"D7T9H0"
"Vitvi01g00170"	0.34071714678103	0.0182076475613788	0.1	0.140927515242153	0.263508206625717	-0.340717146781033	"D7T9G8"
"Vitvi01g00171"	-0.240656960722403	0.201068882044582	0.4	0.411848119460291	0.621776061776062	0.240656960722401	"F6HF47"
"Vitvi01g00172"	-0.306971975364159	0.0746690161775427	0.2	0.258638449285257	0.409658735128366	0.306971975364159	"D7T9G6"
"Vitvi01g00173"	0.222078790681497	0.0325290456530202	0.1	0.178872157111554	0.263508206625717	-0.2220787906815	"F6HF46"
"Vitvi01g00174"	0.0176023856428652	0.772652238036559	1	0.865853328322974	1	-0.0176023856428671	"D7T9G4"
"Vitvi01g04042"	0.127313332317676	0.257770733737154	0.2	0.470712900347494	0.409658735128366	-0.127313332317676	NA
"Vitvi01g00175"	-0.065779168088403	0.621052606930933	0.7	0.766944725155754	0.824517261556466	0.0657791680883992	"A5AP38"
"Vitvi01g00176"	0.196000948100966	0.129473996428928	0.2	0.332764192943294	0.409658735128366	-0.196000948100966	"F6HF44"
"Vitvi01g00178"	0.427559889925747	2.79676581065902e-05	0.1	0.0247060546348317	0.263508206625717	-0.427559889925748	"F6HF43"
"Vitvi01g00179"	0.0523987933750036	0.464228735717946	0.7	0.647638436134072	0.824517261556466	-0.0523987933750033	"F6HF42"
"Vitvi01g00181"	0.0190727298745252	0.975990677386236	0.7	0.986851359550265	0.824517261556466	-0.0190727298745257	"F6HF40"
