gene	common_name	Rpv12|0	Rpv12|6	Rpv12|24	Rpv12+1|0	Rpv12+1|6	Rpv12+1|24	Rpv12+1+3|0	Rpv12+1+3|6	Rpv12+1+3|24	layer	label
Vitvi09g04351	RPS5	-1.812685069745	0.128484380283635	-0.521456900640645	-2.37978340120325	-0.665003035297616	-0.986369587351362	0.0481290786203443	0.642323732355352	-0.483565443256046	Effector recognition	RPS5 (Vitvi09g04351)
Vitvi19g01648	RPS5	-3.9200939498295	-0.333644475484258	-2.88631486296296	0.111047302794415	0.152564039681025	0.029335352281457	-7.09022175885217	-1.15876946188176	-2.69649203582551	Effector recognition	RPS5 (Vitvi19g01648)
Vitvi19g04600	RPS5	-7.27817854577792	-6.05131569665954	-0.650630787258659	0.238403755031311	0.221511514659689	0.345690591177899	-7.5841775379997	-4.02396741612896	-6.76449799368871	Effector recognition	RPS5 (Vitvi19g04600)
Vitvi19g02165	ZAR1	0.168188957239589	0.536855514017531	0.787935423889577	-0.862325525026075	-1.48615547647656	-1.20897909045268	1.93286430292245	1.5339263098047	1.70910240768418	Effector recognition	ZAR1 (Vitvi19g02165)
Vitvi19g04138	ZAR1	1.83326476201425	0.00307717276896349	-0.113527292989618	2.69692648123399	0.116982376184127	0.362301099670843	-0.0547039762584151	-2.14003766034678	0.124026678728155	Effector recognition	ZAR1 (Vitvi19g04138)
Vitvi17g01513	EDS1	2.77404158496684	0.275539787454916	-0.285394209876725	1.74429070799955	0.261094752885729	-0.457227780336091	-0.0223496045970595	-0.221733615461529	-1.83157530660306	Signaling hub	EDS1 (Vitvi17g01513)
Vitvi17g01515	EDS1	2.17228305819734	-0.02152449994987	-0.688322165016468	0.330824396369905	-0.463197446027163	-2.79783275952184	-1.04379492957396	-1.46070570893331	-3.77876936773341	Signaling hub	EDS1 (Vitvi17g01515)
Vitvi17g01520	EDS1	0.557890204503359	-0.545102651755218	-0.869682577905013	0.667319261132091	-0.10398627179013	-1.27878050544422	-3.32831479145782	-3.62600907952206	-4.64976216898265	Signaling hub	EDS1 (Vitvi17g01520)
Vitvi08g01185	DPA	-2.09771744441778	-1.69266194194328	-1.12024497545935	-0.441396235758737	0.271892897355748	0.32460675568273	-2.89858879482092	-2.16251281766812	-1.98358218035358	Signal-integration	DPA (Vitvi08g01185)
Vitvi12g01776	MAPKKK1	-5.42023259838717	-4.78894400751662	-5.95026488130739	-10.3031412522806	-8.90336221615031	-6.00888299874922	-10.3245077573632	-5.9509858969926	-10.1254196252417	Signal-integration	MAPKKK1 (Vitvi12g01776)
Vitvi07g00393	MYB12	0.290427660607766	-3.04725751030012	-1.6514692015923	1.33898458211353	-0.0359649307851639	-0.183700363175784	-5.40800457510328	-3.33128982114454	-3.47944180704671	Signal-integration	MYB12 (Vitvi07g00393)
Vitvi19g01484	NAC21/22	-1.62133432833304	2.53302080173366	0.212653727424431	0.0626317071331742	1.46993706503879	1.53491021909583	3.49290885213432	3.97084595425607	2.51712272714302	Signal-integration	NAC21/22 (Vitvi19g01484)
Vitvi01g01038	NAC29	-0.701754374967945	1.73338146755553	-1.17270350700772	2.21184895772315	2.13160813946244	1.96608858345576	3.14158057816406	2.73395157851427	2.24984644105876	Signal-integration	NAC29 (Vitvi01g01038)
Vitvi04g00179	RIPK	0.582258876005859	-0.0519954186011125	-2.49614880752427	0.376941319629812	-0.0685916098656871	-0.623217945713332	-0.202616884048519	-0.237117176707606	-0.107245481017433	Signal-integration	RIPK (Vitvi04g00179)
Vitvi02g01473	SRG1	0.093556671407096	-0.0260498134220479	-4.24818893880307	-0.129574922305964	-0.00510878422121505	-3.40940944807095	2.33356784430324	0.322625260540168	0.0475572627191343	Signal-integration	SRG1 (Vitvi02g01473)
Vitvi10g00685	SRG1	-3.96755910891717	-0.151303577156668	-1.32585666618665	1.94447420121897	0.312292508162866	-0.298794363818867	3.43144624961463	0.621822479982449	0.426536878497074	Signal-integration	SRG1 (Vitvi10g00685)
Vitvi10g00687	SRG1	0.486014739868425	0.0421684529904367	-5.74385181406072	2.50879947364243	0.0202396362759449	-1.83584767624244	0.381134806879045	0.0608220796497585	0.0244889004406512	Signal-integration	SRG1 (Vitvi10g00687)
Vitvi10g00694	SRG1	-6.64067546040755	2.75299860614776	-0.013301631822284	0.0673574189627545	0.217476705231155	5.14613195235425	0.442833333059225	4.40715170273288	7.36876599251104	Signal-integration	SRG1 (Vitvi10g00694)
Vitvi07g00523	WRKY47	-0.489740557973511	1.12689120155939	-2.07198987769428	-0.349322422434332	1.5867072689862	0.144651255452057	1.81602308542124	2.39863519099631	0.603023892634977	Signal-integration	WRKY47 (Vitvi07g00523)
