common_name	vitvi_id	source	genotype	timing	log2FC_apeglm	padj_threshold_test	DE_primary
RPS5	Vitvi09g04351	41_retained_homologs	Rpv12+1	0	-2.37978340120325	0.0104901461271351	TRUE
RPS5	Vitvi09g02033	41_retained_homologs	Rpv12+1	0	3.24403068441054	5.72013835012881e-10	TRUE
NAC29	Vitvi01g01038	41_retained_homologs	Rpv12+1	6	2.13160813946244	0.0935787598303544	TRUE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12+1	6	0.980074478180778	1	FALSE
SRG1	Vitvi10g00685	41_retained_homologs	Rpv12+1	6	0.312292508162866	1	FALSE
SRG1	Vitvi10g00687	41_retained_homologs	Rpv12+1	6	0.0202396362759449	1	FALSE
SRG1	Vitvi10g00694	41_retained_homologs	Rpv12+1	6	0.217476705231155	1	FALSE
MAPKKK1	Vitvi12g01776	41_retained_homologs	Rpv12+1	6	-8.90336221615031	2.26714854529383e-05	TRUE
WRKY55	Vitvi13g00189	41_retained_homologs	Rpv12+1	6	-0.10369611581121	1	FALSE
MIK2	Vitvi14g03057	41_retained_homologs	Rpv12+1	6	0.0515554176801548	1	FALSE
RPP13	Vitvi15g01670	41_retained_homologs	Rpv12+1	6	-0.238204254245171	0.123443877515935	FALSE
RPP13	Vitvi15g01686	41_retained_homologs	Rpv12+1	6	1.42548617451045	1	TRUE
RPP8	Vitvi16g00787	41_retained_homologs	Rpv12+1	6	-0.0330484432986122	1	FALSE
SARD4	Vitvi16g01127	41_retained_homologs	Rpv12+1	6	-0.238474731267906	1	FALSE
EDS1	Vitvi17g01513	41_retained_homologs	Rpv12+1	6	0.261094752885729	1	FALSE
EDS1	Vitvi17g01515	41_retained_homologs	Rpv12+1	6	-0.463197446027163	1	FALSE
EDS1	Vitvi17g01520	41_retained_homologs	Rpv12+1	6	-0.10398627179013	1	FALSE
SRC2	Vitvi18g02114	41_retained_homologs	Rpv12+1	6	-0.117213709351843	0.676061137978307	FALSE
ZAR1	Vitvi19g04138	41_retained_homologs	Rpv12+1	6	0.116982376184127	1	FALSE
ZAR1	Vitvi19g02165	41_retained_homologs	Rpv12+1	6	-1.48615547647656	0.737924727723985	TRUE
NAC21/22	Vitvi19g01484	41_retained_homologs	Rpv12+1	6	1.46993706503879	1	TRUE
RPS5	Vitvi19g04600	41_retained_homologs	Rpv12+1	6	0.221511514659689	1	FALSE
RPS5	Vitvi19g01648	41_retained_homologs	Rpv12+1	6	0.152564039681025	1	FALSE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12+1	6	-3.2508661068048	0.203769234595535	TRUE
SRG1	Vitvi02g01473	41_retained_homologs	Rpv12+1	6	-0.00510878422121505	1	FALSE
RPP13	Vitvi03g01373	41_retained_homologs	Rpv12+1	6	0.127122224593151	1	FALSE
RPP13	Vitvi03g04047	41_retained_homologs	Rpv12+1	6	4.3369612676551	2.67276823212598e-08	TRUE
RPP13	Vitvi03g04050	41_retained_homologs	Rpv12+1	6	8.10921368636916	1.89105981862468e-10	TRUE
RIPK	Vitvi04g00179	41_retained_homologs	Rpv12+1	6	-0.0685916098656871	1	FALSE
WRKY51	Vitvi04g00760	41_retained_homologs	Rpv12+1	6	-0.0642303238432489	1	FALSE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12+1	6	-0.328712352832188	1	FALSE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12+1	6	1.60058861193767	0.414250557000213	TRUE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12+1	6	0.0455488686182658	1	FALSE
SRC2	Vitvi07g02185	41_retained_homologs	Rpv12+1	6	2.32188094934426	0.284688691251845	TRUE
MYB12	Vitvi07g00393	41_retained_homologs	Rpv12+1	6	-0.0359649307851639	1	FALSE
WRKY47	Vitvi07g00523	41_retained_homologs	Rpv12+1	6	1.5867072689862	0.873075062379214	TRUE
WRKY51	Vitvi07g01847	41_retained_homologs	Rpv12+1	6	-0.0855197841666183	1	FALSE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12+1	6	0.271892897355748	1	FALSE
RPS5	Vitvi09g01588	41_retained_homologs	Rpv12+1	6	-1.5481716079362	0.165238995577241	TRUE
RPS5	Vitvi09g00368	41_retained_homologs	Rpv12+1	6	-0.336991746187115	0.0601265636158363	FALSE
RPS5	Vitvi09g00419	41_retained_homologs	Rpv12+1	6	-0.430376562242837	1	FALSE
RPS5	Vitvi09g04351	41_retained_homologs	Rpv12+1	6	-0.665003035297616	1	FALSE
RPS5	Vitvi09g02033	41_retained_homologs	Rpv12+1	6	3.90052190115142	1.05569311895203e-16	TRUE
NAC29	Vitvi01g01038	41_retained_homologs	Rpv12+1	24	1.96608858345576	0.100335313581921	TRUE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12+1	24	0.311423968364828	1	FALSE
SRG1	Vitvi10g00685	41_retained_homologs	Rpv12+1	24	-0.298794363818867	1	FALSE
SRG1	Vitvi10g00687	41_retained_homologs	Rpv12+1	24	-1.83584767624244	0.435840273388758	TRUE
SRG1	Vitvi10g00694	41_retained_homologs	Rpv12+1	24	5.14613195235425	0.0534477288938751	TRUE
MAPKKK1	Vitvi12g01776	41_retained_homologs	Rpv12+1	24	-6.00888299874922	8.02455609795365e-06	TRUE
WRKY55	Vitvi13g00189	41_retained_homologs	Rpv12+1	24	-0.618490807159019	1	FALSE
MIK2	Vitvi14g03057	41_retained_homologs	Rpv12+1	24	-0.87600865691958	1	FALSE
RPP13	Vitvi15g01670	41_retained_homologs	Rpv12+1	24	-8.03522481899155	0.00136610379904376	TRUE
RPP13	Vitvi15g01686	41_retained_homologs	Rpv12+1	24	4.49021903385243	7.34871937317893e-08	TRUE
