"anchor","anchor_label","partner","r_protected"
"Vitvi17g04216","EDS1","Vitvi08g00970",0.902180611552703
"Vitvi17g04216","EDS1","Vitvi08g01109",0.836241811370429
"Vitvi17g04216","EDS1","Vitvi08g01206",0.829824846345431
"Vitvi17g04216","EDS1","Vitvi08g01213",0.840204972053461
"Vitvi17g04216","EDS1","Vitvi08g01426",0.874815246231868
"Vitvi17g04216","EDS1","Vitvi08g01701",0.887879546371663
"Vitvi17g04216","EDS1","Vitvi08g01702",0.892568575944691
"Vitvi17g04216","EDS1","Vitvi08g01768",0.836870280345997
"Vitvi17g04216","EDS1","Vitvi08g01771",0.837516112206342
"Vitvi17g04216","EDS1","Vitvi08g01794",0.823906995050782
"Vitvi17g04216","EDS1","Vitvi08g01816",0.825072980602179
"Vitvi17g04216","EDS1","Vitvi08g01884",0.835010361876765
"Vitvi17g04216","EDS1","Vitvi08g02336",0.866337323512581
"Vitvi17g04216","EDS1","Vitvi08g04349",0.859117688787048
"Vitvi17g04216","EDS1","Vitvi09g00008",0.842951134900552
"Vitvi17g04216","EDS1","Vitvi09g00018",0.84401881452825
"Vitvi17g04216","EDS1","Vitvi09g00146",0.860127854045065
"Vitvi17g04216","EDS1","Vitvi09g00147",0.833939704646735
"Vitvi17g04216","EDS1","Vitvi09g00185",0.900151363767708
"Vitvi17g04216","EDS1","Vitvi09g00190",0.844593759934232
"Vitvi17g04216","EDS1","Vitvi09g01317",0.836505170788712
"Vitvi17g04216","EDS1","Vitvi09g01351",0.850852819622462
"Vitvi17g04216","EDS1","Vitvi09g01401",0.871713928403204
"Vitvi17g04216","EDS1","Vitvi09g04545",0.866159606411277
"Vitvi17g04216","EDS1","Vitvi10g00053",0.885829668655346
"Vitvi17g04216","EDS1","Vitvi10g00102",0.839966044969715
"Vitvi17g04216","EDS1","Vitvi10g00274",0.832739690128554
"Vitvi17g04216","EDS1","Vitvi10g00576",0.870338563520041
"Vitvi17g04216","EDS1","Vitvi10g00655",0.897245587297445
"Vitvi17g04216","EDS1","Vitvi10g00663",0.853577998005281
"Vitvi17g04216","EDS1","Vitvi10g00931",0.900449136605883
"Vitvi17g04216","EDS1","Vitvi10g01507",0.805813410589126
"Vitvi17g04216","EDS1","Vitvi10g01650",0.859380931862139
"Vitvi17g04216","EDS1","Vitvi10g01674",0.813022950879976
"Vitvi17g04216","EDS1","Vitvi10g01700",0.875811198902718
"Vitvi17g04216","EDS1","Vitvi10g02048",0.88435816550905
"Vitvi17g04216","EDS1","Vitvi10g02177",0.875897276752129
"Vitvi17g04216","EDS1","Vitvi10g04093",0.864189810831136
"Vitvi17g04216","EDS1","Vitvi10g04478",0.886068719720094
"Vitvi17g04216","EDS1","Vitvi11g00016",0.841457322977262
"Vitvi17g04216","EDS1","Vitvi11g00243",0.821403463520388
"Vitvi17g04216","EDS1","Vitvi11g00360",0.834133982890156
"Vitvi17g04216","EDS1","Vitvi11g00393",0.837162321563264
"Vitvi17g04216","EDS1","Vitvi11g00408",0.870550960447055
"Vitvi17g04216","EDS1","Vitvi11g00412",0.824359177047916
"Vitvi17g04216","EDS1","Vitvi11g00480",0.848984698167678
"Vitvi17g04216","EDS1","Vitvi12g00116",0.882990287743374
"Vitvi17g04216","EDS1","Vitvi12g00145",0.880543526758906
