"","PearsonCorr","Pvals","Padj","FDR"
"Vitvi08g01333",-0.657716034919617,1.30786151670413e-05,0.042165455298541,0.000274414482590708
"Vitvi08g01617",0.713238185116801,1.05085825073372e-06,0.00338796700036551,4.34657156378871e-05
"Vitvi08g01846",-0.762913362514686,6.33270577135278e-08,0.000204166434068414,5.83332668766896e-06
"Vitvi08g01897",0.700887740352874,1.9332321858187e-06,0.00623274056707948,6.63057507136115e-05
"Vitvi08g02218",0.727537270049088,4.98280266780533e-07,0.00160645558010044,2.67742596683406e-05
"Vitvi08g02288",0.690407587344343,3.1680016663268e-06,0.0102136373722376,9.7725319208064e-05
"Vitvi09g00419",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi09g00867",0.810852116371421,2.03056993452799e-09,6.54655746891825e-06,2.33805623889937e-07
"Vitvi09g01646",0.69471251797091,2.59273082141355e-06,0.00835896416823729,8.2762021467696e-05
"Vitvi09g01698",-0.670011628443056,7.83176070412865e-06,0.0252495965101108,0.00018842982470232
"Vitvi09g04280",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi10g00562",-0.660508884324796,1.16644458253713e-05,0.0376061733409972,0.000257576529732858
"Vitvi10g00984",0.713238185116801,1.05085825073372e-06,0.00338796700036551,4.34657156378871e-05
"Vitvi10g01812",-0.722501018689747,6.51436181894005e-07,0.00210023025042627,3.33369881020043e-05
"Vitvi10g04044",-0.760088730172259,7.5624164511901e-08,0.000243812306386369,6.09530765965922e-06
"Vitvi10g04085",-0.737939074644656,2.81075640112032e-07,0.00090618786372119,1.64761429767489e-05
"Vitvi10g04276",-0.667971890266684,8.54109450068936e-06,0.0275364886702225,0.000199539772972627
"Vitvi10g04282",0.670011628443056,7.8317607041287e-06,0.0252495965101109,0.00018842982470232
"Vitvi10g04464",0.663836406061092,1.01620006133771e-05,0.0327622899775279,0.000227515902621723
"Vitvi10g04504",0.750289519408583,1.37448227308174e-07,0.000443133084841552,9.42836350726719e-06
"Vitvi11g00075",0.682362073206983,4.56604657723525e-06,0.0147209341650065,0.000128008123173969
"Vitvi11g00217",0.719413407498765,7.65599059629689e-07,0.00246829136824612,3.57723386702336e-05
"Vitvi11g00285",-0.751595852101597,1.27126181928121e-07,0.000409854810536262,9.31488205764231e-06
"Vitvi11g00286",-0.874344762938948,3.25230629616806e-12,1.04854354988458e-08,1.33480103427869e-09
"Vitvi11g01637",-0.811139465780844,1.98345837029642e-09,6.39466978583566e-06,2.33805623889937e-07
"Vitvi12g00368",-0.681229347630755,4.80280991776773e-06,0.0154842591748832,0.000131155446250368
"Vitvi12g01776",0.702376916856849,1.7991460920324e-06,0.00580044700071245,6.44494111190272e-05
"Vitvi12g01881",0.719413407498765,7.65599059629689e-07,0.00246829136824612,3.57723386702336e-05
"Vitvi12g01882",-0.657661183679129,1.31078878160574e-05,0.0422598303189691,0.000274414482590708
"Vitvi12g01921",0.789157076468506,1.07431838963728e-08,3.46360248819058e-05,1.11729112522277e-06
"Vitvi12g02011",0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09
"Vitvi12g02633",-0.653563077075292,1.54713115867318e-05,0.0498795085556233,0.000321803281004021
"Vitvi12g04108",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi12g04404",-0.713224436808306,1.05158989446501e-06,0.00339032581975519,4.34657156378871e-05
"Vitvi12g04463",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi12g04498",0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09
"Vitvi12g04515",-0.713238185116801,1.05085825073373e-06,0.00338796700036554,4.34657156378871e-05
"Vitvi12g04518",0.663836406061092,1.01620006133771e-05,0.0327622899775279,0.000227515902621723
"Vitvi12g04543",0.707800676832578,1.37960969568661e-06,0.00444786165889365,5.29507340344482e-05
"Vitvi12g04545",0.707800676832578,1.37960969568661e-06,0.00444786165889365,5.29507340344482e-05
"Vitvi12g04595",-0.760088730172259,7.5624164511901e-08,0.000243812306386369,6.09530765965922e-06
"Vitvi12g04598",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi12g04607",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi12g04630",0.684531130470243,4.1421809807533e-06,0.0133543914819486,0.000117143784929374
"Vitvi13g00004",-0.6638926726162,1.01381854377083e-05,0.0326855098511715,0.000227515902621723
"Vitvi13g00551",-0.737939074644656,2.81075640112032e-07,0.00090618786372119,1.64761429767489e-05
"Vitvi13g01098",0.688537295588947,3.45252458433688e-06,0.0111309392599021,0.000101190356908201
"Vitvi13g01468",0.760088730172259,7.5624164511901e-08,0.000243812306386369,6.09530765965922e-06
"Vitvi13g01608",0.65798725895509,1.29347424789738e-05,0.0417016097522115,0.000274414482590708
"Vitvi13g01616",-0.669331866868109,8.06194923971235e-06,0.0259917243488326,0.00018972061568491
"Vitvi13g01638",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi13g01984",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi13g04528",0.760088730172259,7.5624164511901e-08,0.000243812306386369,6.09530765965922e-06
"Vitvi13g04529",0.760088730172259,7.5624164511901e-08,0.000243812306386369,6.09530765965922e-06
"Vitvi13g04677",-0.75441642621575,1.07231136608592e-07,0.000345713184426099,8.03984149828138e-06
"Vitvi13g04698",0.719413407498765,7.65599059629689e-07,0.00246829136824612,3.57723386702336e-05
"Vitvi13g04706",0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09
"Vitvi14g00438",0.680676474781128,4.92239733135686e-06,0.0158698089962945,0.000131155446250368
"Vitvi14g01926",-0.737939074644656,2.81075640112032e-07,0.00090618786372119,1.64761429767489e-05
"Vitvi14g04416",-0.663836406061092,1.01620006133772e-05,0.0327622899775281,0.000227515902621723
"Vitvi15g01247",-0.716618527211035,8.84494703110948e-07,0.0028516109228297,4.01635341243619e-05
"Vitvi16g00901",0.708254164565209,1.34895834447137e-06,0.00434904170257571,5.29507340344482e-05
"Vitvi16g04295",-0.729160155023937,4.56480733012947e-07,0.00147169388323374,2.49439641226058e-05
"Vitvi16g04448",-0.680676474781128,4.92239733135686e-06,0.0158698089962945,0.000131155446250368
"Vitvi17g00339",0.750289519408583,1.37448227308174e-07,0.000443133084841552,9.42836350726719e-06
"Vitvi17g00461",0.719413407498765,7.65599059629689e-07,0.00246829136824612,3.57723386702336e-05
"Vitvi17g00704",-0.750289519408583,1.37448227308175e-07,0.000443133084841558,9.42836350726719e-06
"Vitvi17g00936",0.695506609407448,2.49770503451919e-06,0.00805260103128987,8.21693982784681e-05
"Vitvi17g01373",0.777105642041788,2.49883482017834e-08,8.05624346025497e-05,2.44128589704696e-06
"Vitvi18g00174",0.719413407498765,7.65599059629689e-07,0.00246829136824612,3.57723386702336e-05
"Vitvi18g00191",0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09
"Vitvi18g00462",-0.737939074644656,2.81075640112032e-07,0.00090618786372119,1.64761429767489e-05
"Vitvi18g00473",-0.783394258152665,1.61926462779259e-08,5.2205091600033e-05,1.63140911250103e-06
"Vitvi18g02222",-0.669331866868109,8.06194923971235e-06,0.0259917243488326,0.00018972061568491
"Vitvi18g02825",0.725588629880729,5.53108756705168e-07,0.00178322263161746,2.92331578953682e-05
"Vitvi18g02837",0.661853063790958,1.10347350043172e-05,0.0355759856539188,0.00024535162519944
"Vitvi18g04551",-0.775445421235822,2.79559952748279e-08,9.01301287660451e-05,2.6508861401778e-06
"Vitvi18g04640",0.711270627754237,1.16045094671624e-06,0.00374129385221315,4.73581500280145e-05
"Vitvi19g00270",0.689897685138033,3.24336512260014e-06,0.0104566091552628,9.7725319208064e-05
"Vitvi19g00476",0.794580836444235,7.2167837410802e-09,2.32669107812426e-05,7.75563692708085e-07
"Vitvi19g00709",0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09
"Vitvi19g01484",0.689897685138033,3.24336512260014e-06,0.0104566091552628,9.7725319208064e-05
"Vitvi19g01610",0.823537842612335,6.9246178663626e-10,2.2324968001153e-06,1.01477127277968e-07
"Vitvi19g01612",0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09
"Vitvi19g01720",-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09
"Vitvi19g01790",-0.697693386650656,2.25225754908549e-06,0.00726127833825162,7.48585395696043e-05
"Vitvi19g04572",0.820952166497382,8.68114223842157e-10,2.79880025766711e-06,1.21686967724657e-07
