"gene","is_DE_panel_gene","R2_precorrection","R2_unprotected_ComBat","R2_protected_ComBat"
"Vitvi19g04361",TRUE,0.738706972353605,0.785016337713961,0.800278394919384
"Vitvi19g04363",TRUE,0.806712337210887,0.845158816161772,0.858976829561388
"Vitvi19g04366",FALSE,0.30622948246197,0.314049803421794,0.314678467078979
"Vitvi19g04367",FALSE,0.656317863020259,0.719464126980658,0.734805874697359
"Vitvi19g01028",TRUE,0.715910340117601,0.78015955264796,0.796967157750732
"Vitvi19g04372",TRUE,0.678493055449908,0.741598787659999,0.737131569934687
"Vitvi19g04373",TRUE,0.74750037752328,0.783489979674587,0.804470443115212
"Vitvi19g04376",TRUE,0.672314338654471,0.710101308437996,0.743173784807447
"Vitvi19g04387",TRUE,0.652520895217173,0.701546414459412,0.732810500214294
"Vitvi19g01058",TRUE,0.67369415280769,0.721665167097656,0.725727368466287
"Vitvi19g04388",FALSE,0.611836099618775,0.623172876250241,0.630455477218272
"Vitvi19g02164",TRUE,0.778808839138862,0.812193074638456,0.812857859223491
"Vitvi19g02165",TRUE,0.920979364912255,0.927253855314889,0.942750662425629
"Vitvi19g04391",FALSE,0.657073510461532,0.63787402859108,0.669339262863581
"Vitvi19g04392",FALSE,0.802671117092689,0.798506720921359,0.807555229370691
"Vitvi19g02208",FALSE,0.849057475590784,0.929897531354474,0.940521265899099
"Vitvi19g01375",FALSE,0.581464635257773,0.642948785765278,0.698046770512667
"Vitvi19g04395",TRUE,0.824184294930281,0.830464918199373,0.85754889264195
"Vitvi19g01381",FALSE,0.898875472934413,0.887284881983352,0.910374141370586
"Vitvi19g01383",FALSE,0.312587958273726,0.278003097397048,0.283263685089702
"Vitvi19g02212",TRUE,0.677330849790396,0.753517999755015,0.784962144229249
"Vitvi19g04401",FALSE,0.656739966936679,0.72197566629754,0.777469326936353
"Vitvi19g01389",FALSE,0.720559375453139,0.770337273008993,0.784315637340414
"Vitvi19g01391",FALSE,0.508337853293934,0.392170783829755,0.40942924092502
"Vitvi19g01394",FALSE,0.682844818948328,0.677730785773264,0.721319088026871
"Vitvi19g01400",FALSE,0.49316043569623,0.488872979087592,0.503215931523895
"Vitvi19g01403",FALSE,0.454173481747591,0.47627817289766,0.491181469642471
"Vitvi19g04408",TRUE,0.602719526112317,0.66667950477508,0.677985625573954
"Vitvi19g04409",FALSE,0.446555277552929,0.484335290636314,0.486886813951729
"Vitvi19g04410",FALSE,0.266839015208721,0.252213111668977,0.273426949268048
"Vitvi19g01440",FALSE,0.593393245249514,0.546055129121183,0.564025659149775
"Vitvi19g01438",FALSE,0.625729945213728,0.62399041600773,0.635056289989377
"Vitvi19g04411",FALSE,0.373194441570652,0.369403238843976,0.383989018019783
"Vitvi19g01432",TRUE,0.649675544952219,0.698088754841248,0.700369126095899
"Vitvi19g02230",FALSE,0.495549833841957,0.590162285981942,0.778415008814753
"Vitvi19g04416",FALSE,0.584300210231185,0.583496373910004,0.66581626863137
"Vitvi19g04419",FALSE,0.339206450574947,0.369924290551189,0.36303713636035
"Vitvi19g01420",FALSE,0.719707779640392,0.711655911442205,0.755250274664644
"Vitvi19g04422",FALSE,0.381304826176212,0.34627682185081,0.466702428519631
"Vitvi19g04428",FALSE,0.404110706287998,0.379796376829902,0.418121943159044
"Vitvi19g02178",FALSE,0.337078293512012,0.339888714989889,0.430716742501053
"Vitvi19g04429",FALSE,0.431684260083377,0.375376620027629,0.564645920251067
"Vitvi19g01278",FALSE,0.241510210193687,0.284053464220758,0.348631402545142
"Vitvi19g01281",FALSE,0.726977107614023,0.688337268185874,0.72414199785932
"Vitvi19g02180",FALSE,0.416850049642189,0.389928618325202,0.400961040742321
"Vitvi19g04430",FALSE,0.346610332700125,0.340817592461907,0.423930611592783
"Vitvi19g01284",FALSE,0.319946681077108,0.469161676035169,0.605248077927475
"Vitvi19g01415",FALSE,0.277093761718966,0.27999781171798,0.278536400859413
"Vitvi19g04434",FALSE,0.663592717539681,0.668818185996032,0.698873680972272
"Vitvi19g02222",FALSE,0.314378955008761,0.310049226743598,0.327158200749052
"Vitvi19g04435",FALSE,0.422774300976092,0.419464848045498,0.493630793961762
"Vitvi19g04436",FALSE,0.698415182938613,0.692302886492369,0.707680894790612
"Vitvi19g01408",FALSE,0.527572969448447,0.53775227635982,0.561767250676737
"Vitvi19g04437",FALSE,0.289464542526438,0.314093102617097,0.335891393917684
"Vitvi19g04438",FALSE,0.493831898516431,0.49826479522587,0.509519995674414
"Vitvi19g01363",FALSE,0.606828577993034,0.622655208046768,0.636242081920604
"Vitvi19g01360",TRUE,0.506885865555474,0.499664189380394,0.506144815454731
"Vitvi19g01359",FALSE,0.638868134162992,0.691114705376627,0.697900663292355
"Vitvi19g01357",FALSE,0.612371843257363,0.689148198237571,0.697650559551912
"Vitvi19g01356",TRUE,0.661767284863738,0.688142748644148,0.725049885682959
"Vitvi19g01352",FALSE,0.635916278380313,0.691112107110111,0.699196876302824
"Vitvi19g04444",FALSE,0.490455396168863,0.504892318097329,0.527643177751193
"Vitvi19g01351",FALSE,0.611182280221596,0.686948660268168,0.721989039401377
"Vitvi19g01349",FALSE,0.529028525349245,0.513859586140025,0.532711814445978
"Vitvi19g01346",FALSE,0.700451451947189,0.720716198889056,0.727223252977773
"Vitvi19g04446",TRUE,0.74071367053986,0.819780508110427,0.819961720237204
"Vitvi19g04448",FALSE,0.509106258536933,0.514719994575374,0.544313998327545
