"matrix","grouping","level","n","method","r","slope"
"rlog_blind","condition","Rpv12.1.3.6",3,"spearman",0.0941736163141029,-0.000120546477933023
"rlog_blind","condition","Rpv12.1.6",3,"spearman",0.0640106924201771,0.000177199531976945
"rlog_blind","condition","Rpv12.24",3,"spearman",-0.26754463569007,-0.00185884551027381
"rlog_blind","condition","Rpv12.6",3,"spearman",0.0909173333471314,0.00403922697335323
"rlog_blind","condition","Susceptible.0",3,"spearman",0.00196615393913116,0.00380812561573547
"rlog_blind","condition","Susceptible.24",3,"spearman",0.0411619378634595,0.00149029363023826
"rlog_blind","condition","Susceptible.6",3,"spearman",-0.404017489513381,-0.00228385857770102
"rlog_blind","condition","GLOBAL",36,"pearson",-0.00426047032650636,-0.000718481200564319
"rlog_blind","condition","Rpv12.0",3,"pearson",-0.0538156336866827,-0.00114944222792155
"rlog_blind","condition","Rpv12.1.0",3,"pearson",-0.0386624919499354,-0.00267159299135271
"rlog_blind","condition","Rpv12.1.24",3,"pearson",0.0108168642282289,0.00261028028765951
"rlog_blind","condition","Rpv12.1.3.0",3,"pearson",-0.0875886513383963,-0.00273040475924462
"rlog_blind","condition","Rpv12.1.3.24",3,"pearson",0.00108347833992894,0.000122828296774356
"rlog_blind","condition","Rpv12.1.3.6",3,"pearson",-0.00234372978242718,-0.000120546477933023
"rlog_blind","condition","Rpv12.1.6",3,"pearson",0.00169561623684108,0.000177199531976945
"rlog_blind","condition","Rpv12.24",3,"pearson",-0.180822534301409,-0.00185884551027381
"rlog_blind","condition","Rpv12.6",3,"pearson",0.0292069815452027,0.00403922697335323
"rlog_blind","condition","Susceptible.0",3,"pearson",0.0146994927061302,0.00380812561573547
"rlog_blind","condition","Susceptible.24",3,"pearson",0.00715752564549501,0.00149029363023826
"rlog_blind","condition","Susceptible.6",3,"pearson",-0.261346833414731,-0.00228385857770102
"rlog_blind","myTime","GLOBAL",36,"spearman",-0.00413696695316863,-0.000718481200564319
"rlog_blind","myTime","0",12,"spearman",-0.0213399768864351,-0.000729077822121181
"rlog_blind","myTime","6",12,"spearman",-0.00758130831716296,-0.0022784406529778
"rlog_blind","myTime","24",12,"spearman",0.00629503799233903,0.000359192286153127
"rlog_blind","myTime","GLOBAL",36,"pearson",-0.00426047032650636,-0.000718481200564319
"rlog_blind","myTime","0",12,"pearson",-0.0040124887695654,-0.000729077822121181
"rlog_blind","myTime","6",12,"pearson",-0.0137401749385593,-0.0022784406529778
"rlog_blind","myTime","24",12,"pearson",0.00184741226713094,0.000359192286153127
"rlog_blind","myResistance","GLOBAL",36,"spearman",-0.00413696695316863,-0.000718481200564319
"rlog_blind","myResistance","Rpv1",9,"spearman",0.0386311047958759,0.00240112338603708
"rlog_blind","myResistance","Rpv1.12",9,"spearman",0.019841137326315,0.00138837560952936
"rlog_blind","myResistance","Rpv1.12.3",9,"spearman",-0.00799940133818775,-0.00232921166615446
"rlog_blind","myResistance","Susceptible",9,"spearman",-0.00333720729753726,0.00241785837535283
"rlog_blind","myResistance","GLOBAL",36,"pearson",-0.00426047032650636,-0.000718481200564319
"rlog_blind","myResistance","Rpv1",9,"pearson",0.0195095586978676,0.00240112338603708
"rlog_blind","myResistance","Rpv1.12",9,"pearson",0.0117228479589699,0.00138837560952936
"rlog_blind","myResistance","Rpv1.12.3",9,"pearson",-0.0319504149505275,-0.00232921166615446
"rlog_blind","myResistance","Susceptible",9,"pearson",0.0155146686797488,0.00241785837535283
"rlog_design","condition","GLOBAL",36,"spearman",0.146179610093644,0.0101246776008044
"rlog_design","condition","Rpv12.0",3,"spearman",0.101721024128979,0.000877508034198508
"rlog_design","condition","Rpv12.1.0",3,"spearman",0.00122803286374392,-0.00112355329254025
"rlog_design","condition","Rpv12.1.24",3,"spearman",0.169954207159212,0.0128990419309887
"rlog_design","condition","Rpv12.1.3.0",3,"spearman",0.0567460289803271,-0.00214841242685089
"rlog_design","condition","Rpv12.1.3.24",3,"spearman",0.140551844839045,0.00401056425859458
"rlog_design","condition","Rpv12.1.3.6",3,"spearman",0.209427554966429,0.00186294225818651
"rlog_design","condition","Rpv12.1.6",3,"spearman",0.185864377466119,0.00322892715425401
"rlog_design","condition","Rpv12.24",3,"spearman",-0.121805481187652,-0.00100631815006306
"rlog_design","condition","Rpv12.6",3,"spearman",0.204661582304604,0.0110245309945144
"rlog_design","condition","Susceptible.0",3,"spearman",0.121968043227796,0.0144360213403863
"rlog_design","condition","Susceptible.24",3,"spearman",0.159249739933227,0.00989341433551888
"rlog_design","condition","Susceptible.6",3,"spearman",-0.268379914069368,-0.0015819867085933
"rlog_design","condition","GLOBAL",36,"pearson",0.0406687472614625,0.0101246776008044
"rlog_design","condition","Rpv12.0",3,"pearson",0.0323197455864659,0.000877508034198508
"rlog_design","condition","Rpv12.1.0",3,"pearson",-0.0224357668880697,-0.00112355329254025
"rlog_design","condition","Rpv12.1.24",3,"pearson",0.0352498710016273,0.0128990419309887
"rlog_design","condition","Rpv12.1.3.0",3,"pearson",-0.0484017041832244,-0.00214841242685089
"rlog_design","condition","Rpv12.1.3.24",3,"pearson",0.0226919749468768,0.00401056425859458
"rlog_design","condition","Rpv12.1.3.6",3,"pearson",0.0256807882583245,0.00186294225818651
"rlog_design","condition","Rpv12.1.6",3,"pearson",0.0200974209943871,0.00322892715425401
"rlog_design","condition","Rpv12.24",3,"pearson",-0.0962657479853688,-0.00100631815006306
"rlog_design","condition","Rpv12.6",3,"pearson",0.0655205667684005,0.0110245309945144
"rlog_design","condition","Susceptible.0",3,"pearson",0.0440151718083597,0.0144360213403863
"rlog_design","condition","Susceptible.24",3,"pearson",0.035229920307608,0.00989341433551888
"rlog_design","condition","Susceptible.6",3,"pearson",-0.166194333254893,-0.0015819867085933
"rlog_design","myTime","GLOBAL",36,"spearman",0.146179610093644,0.0101246776008044
"rlog_design","myTime","0",12,"spearman",0.128776629537129,0.0102563018477983
"rlog_design","myTime","6",12,"spearman",0.136648620250039,0.00548785724996363
"rlog_design","myTime","24",12,"spearman",0.151716493014165,0.0123658605352051
"rlog_design","myTime","GLOBAL",36,"pearson",0.0406687472614625,0.0101246776008044
"rlog_design","myTime","0",12,"pearson",0.0377885133580665,0.0102563018477983
"rlog_design","myTime","6",12,"pearson",0.0225835490502393,0.00548785724996363
"rlog_design","myTime","24",12,"pearson",0.0448894296850509,0.0123658605352051
"rlog_design","myResistance","GLOBAL",36,"spearman",0.146179610093644,0.0101246776008044
"rlog_design","myResistance","Rpv1",9,"spearman",0.189837243331404,0.00951853563748899
"rlog_design","myResistance","Rpv1.12",9,"spearman",0.167783974691605,0.00890658904383777
"rlog_design","myResistance","Rpv1.12.3",9,"spearman",0.140012735262193,-0.00125535251114264
"rlog_design","myResistance","Susceptible",9,"spearman",0.154597498814442,0.0115673947255956
"rlog_design","myResistance","GLOBAL",36,"pearson",0.0406687472614625,0.0101246776008044
"rlog_design","myResistance","Rpv1",9,"pearson",0.0617069095889021,0.00951853563748899
"rlog_design","myResistance","Rpv1.12",9,"pearson",0.0503252808702918,0.00890658904383777
"rlog_design","myResistance","Rpv1.12.3",9,"pearson",-0.0109915088047463,-0.00125535251114264
"rlog_design","myResistance","Susceptible",9,"pearson",0.0581884286756914,0.0115673947255956
"vst_blind","condition","GLOBAL",36,"spearman",-0.0141292832382687,0.00655777449786485
"vst_blind","condition","Rpv12.0",3,"spearman",-0.0726409642811809,-0.00310198572607064
"vst_blind","condition","Rpv12.1.0",3,"spearman",-0.176246886602606,-0.0062640039107692
"vst_blind","condition","Rpv12.1.24",3,"spearman",0.0544981873988869,0.0104013640209469
"vst_blind","condition","Rpv12.1.3.0",3,"spearman",-0.0776603510534,-0.00788565978028819
"vst_blind","condition","Rpv12.1.3.24",3,"spearman",-0.0150528947681808,-6.73303325379916e-06
"vst_blind","condition","Rpv12.1.3.6",3,"spearman",0.0608463248019722,-0.000622761991732669
"vst_blind","condition","Rpv12.1.6",3,"spearman",0.0398278372037858,0.000906824749722374
"vst_blind","condition","Rpv12.24",3,"spearman",-0.3088118829404,-0.00538820638951794
"vst_blind","condition","Rpv12.6",3,"spearman",0.08078481276712,0.0126188892213031
"vst_blind","condition","Susceptible.0",3,"spearman",-0.0198088001236814,0.0126211546757499
"vst_blind","condition","Susceptible.24",3,"spearman",0.0337207001900354,0.0112553528289092
"vst_blind","condition","Susceptible.6",3,"spearman",-0.44188134714921,-0.00651378120288743
"vst_blind","condition","GLOBAL",36,"pearson",0.020632058676415,0.00655777449786485
"vst_blind","condition","Rpv12.0",3,"pearson",-0.0735749229399887,-0.00310198572607064
"vst_blind","condition","Rpv12.1.0",3,"pearson",-0.121883735077265,-0.0062640039107692
"vst_blind","condition","Rpv12.1.24",3,"pearson",0.0215618097621673,0.0104013640209469
"vst_blind","condition","Rpv12.1.3.0",3,"pearson",-0.147481137551768,-0.00788565978028819
"vst_blind","condition","Rpv12.1.3.24",3,"pearson",-3.12072710559065e-05,-6.73303325379916e-06
"vst_blind","condition","Rpv12.1.3.6",3,"pearson",-0.00681761081709385,-0.000622761991732669
"vst_blind","condition","Rpv12.1.6",3,"pearson",0.00469988942009835,0.000906824749722374
"vst_blind","condition","Rpv12.24",3,"pearson",-0.309668340288895,-0.00538820638951794
"vst_blind","condition","Rpv12.6",3,"pearson",0.0584705329521892,0.0126188892213031
"vst_blind","condition","Susceptible.0",3,"pearson",0.0299402417583583,0.0126211546757499
"vst_blind","condition","Susceptible.24",3,"pearson",0.030898966177456,0.0112553528289092
"vst_blind","condition","Susceptible.6",3,"pearson",-0.396285208502391,-0.00651378120288743
"vst_blind","myTime","GLOBAL",36,"spearman",-0.0141292832382687,0.00655777449786485
"vst_blind","myTime","0",12,"spearman",-0.0459160776416234,0.00607211055458664
"vst_blind","myTime","6",12,"spearman",-0.0366651233877249,-9.20076235452214e-05
"vst_blind","myTime","24",12,"spearman",0.00155746135567823,0.0107655801639301
"vst_blind","myTime","GLOBAL",36,"pearson",0.020632058676415,0.00655777449786485
"vst_blind","myTime","0",12,"pearson",0.0175222383910039,0.00607211055458664
