"rep","n_significant","median_module_size","anchor_identity_jaccard","mean_partner_set_jaccard"
142,141,87,0.33953488372093,0.529630093949833
143,276,119.5,0.321875,0.47303545061463
144,164,80,0.524509803921569,0.509388996472452
145,171,114,0.388646288209607,0.440793668166479
146,97,92,0.506172839506173,0.540034813811088
147,115,89,0.668789808917197,0.549015609182368
148,104,68.5,0.356756756756757,0.472690314342082
149,296,165.5,0.367283950617284,0.430150447747173
150,234,145.5,0.253289473684211,0.380385914912772
151,348,243,0.253164556962025,0.336645208576587
152,331,112,0.377521613832853,0.535977145188034
153,149,139,0.557894736842105,0.395804786403513
154,266,238.5,0.372093023255814,0.382858177870472
155,144,114.5,0.392344497607655,0.527106080610419
156,175,103,0.586206896551724,0.561300077214007
157,144,82,0.310810810810811,0.427154109047649
158,117,85,0.375,0.48780189731517
159,330,362.5,0.328690807799443,0.237117389770774
160,267,114,0.452631578947368,0.540097976390244
161,176,141.5,0.560386473429952,0.380484733828468
162,237,123,0.386281588447653,0.390982884443849
163,131,71,0.440414507772021,0.504040133924757
164,60,68.5,0.232142857142857,0.402570933726068
165,184,144.5,0.414529914529915,0.44011091586335
166,163,108,0.415525114155251,0.442752333834324
167,110,79,0.596273291925466,0.594690898607879
168,154,84,0.75,0.540576520599754
169,218,139.5,0.351851851851852,0.412871741736835
170,130,80.5,0.513661202185792,0.583196956248352
171,190,123,0.252788104089219,0.454816641214233
172,353,148,0.366120218579235,0.458858752862307
173,413,219,0.290322580645161,0.386224215470844
174,270,135,0.428082191780822,0.431279534205113
175,230,123,0.466926070038911,0.557348907809371
176,138,138,0.557377049180328,0.357920035045091
177,129,96,0.516483516483517,0.455999638906739
178,156,74,0.538071065989848,0.511232035406149
179,150,89,0.605405405405405,0.50604344981818
180,289,106,0.472972972972973,0.478535322163483
181,213,157,0.451612903225806,0.418286258049448
182,151,190,0.544041450777202,0.347766195701268
183,234,189,0.346289752650177,0.336326812408762
184,193,117,0.504424778761062,0.499290007204348
185,221,110,0.565957446808511,0.486879673514746
186,254,201.5,0.437275985663082,0.415558312533612
187,132,103.5,0.532967032967033,0.448129438840413
188,121,147,0.480662983425414,0.427316679081606
189,115,180,0.31,0.310551769021303
190,119,83,0.502824858757062,0.483266411324484
191,184,201,0.402542372881356,0.3435104639395
192,111,74,0.303030303030303,0.511196790869739
193,286,111,0.453020134228188,0.486188480811643
194,147,130,0.47,0.40961337461153
195,93,114,0.437125748502994,0.457780729054005
196,105,67,0.407821229050279,0.549432091115608
197,262,145.5,0.340983606557377,0.394807329412606
198,152,124.5,0.590425531914894,0.475181027808714
199,423,120,0.319444444444444,0.560104270039737
200,148,105,0.594594594594595,0.510742268601373
