"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g04013"	0.0857927053560979	0.660126690495742	0.7	0.781526210802708	0.807934547699907	-0.0857927053561003	"F6HF74"
"Vitvi01g00070"	-0.298611952261468	0.216426660177427	0.7	0.415499795543594	0.807934547699907	0.298611952261467	"F6HF73"
"Vitvi01g04014"	-0.390775362215504	0.163377142037313	0.7	0.35632323007426	0.807934547699907	0.390775362215503	NA
"Vitvi01g00071"	0.165222919771831	0.0290478717037857	0.1	0.144135690662979	0.27000619067272	-0.165222919771834	"F6HF72"
"Vitvi01g00073"	0.0103133566044004	0.874834205767832	0.7	0.925502341456601	0.807934547699907	-0.0103133566044003	"D7T9T6"
"Vitvi01g01845"	0.0549302269289888	0.854321416388963	1	0.911847310183086	1	-0.05493022692899	"D7T9T5"
"Vitvi01g01846"	-0.0150686191146703	0.908191088942949	0.7	0.945589743238165	0.807934547699907	0.0150686191146665	"F6HF70"
"Vitvi01g00074"	0.435654314894265	0.0592526536083548	0.1	0.208981906425508	0.27000619067272	-0.435654314894267	"F6HF69"
"Vitvi01g00075"	0.510860809689964	0.00119378116027182	0.1	0.0347351606305948	0.27000619067272	-0.510860809689966	"A5BTC6"
"Vitvi01g00076"	-0.133419361134301	0.0738705021352224	0.2	0.23369404864321	0.422660098522168	0.133419361134299	"F6HEZ4"
"Vitvi01g00077"	-0.0237390123806688	0.827981243016637	0.7	0.893904591537352	0.807934547699907	0.0237390123806662	"D7T9T0"
"Vitvi01g00078"	0.157889724372257	0.129274954439031	0.2	0.316278590039198	0.422660098522168	-0.157889724372257	"F6HEZ3"
"Vitvi01g00079"	0.4846869893298	0.0892317556377811	0.2	0.259279942294247	0.422660098522168	-0.484686989329799	"A5AY98"
"Vitvi01g00080"	-0.219115908356065	0.0370837830245164	0.1	0.163127503440674	0.27000619067272	0.219115908356066	"F6HEZ1"
"Vitvi01g01847"	0.00700264435498525	0.960515841412345	0.7	0.977093840774331	0.807934547699907	-0.00700264435498621	"F6HEZ0"
