"geneID","spearman_rho","pvalue","padj","fdr","module_size"
"Vitvi06g00285",-0.57638349405403,0.000234110207241294,1,0.000484848696227088,2291
"Vitvi06g00289",0.39182592248032,0.0181099832764267,1,0.0215819112500674,6
"Vitvi06g00292",0.304753495262471,0.0707229426338605,1,0.0767665559995275,53
"Vitvi06g00300",-0.645746403000758,2.10820008752169e-05,0.178880777426215,5.91341412979231e-05,1901
"Vitvi06g00303",-0.592550776343255,0.00014029338391683,1,0.000306959608698893,2050
"Vitvi06g00308",0.595908959859492,0.000125703812270519,1,0.000279653079998784,34
"Vitvi06g00309",-0.430497602000505,0.00877034378520732,1,0.0112598527791624,759
"Vitvi06g00311",-0.420850064886269,0.010590608809886,1,0.0133167332175286,108
"Vitvi06g00312",0.411175350750953,0.0127285678576514,1,0.0157162250105023,1160
"Vitvi06g00327",0.750289519408583,1.37448227308174e-07,0.00116624820870985,7.4855469108464e-07,421
"Vitvi06g00336",-0.552471922567315,0.000476236747738388,1,0.000915051812626864,7
"Vitvi06g00338",0.621060887286123,5.30411488272768e-05,0.450054147799443,0.000132955435095847,47
"Vitvi06g00340",-0.478898349698169,0.00312849885508842,1,0.00444943224697037,1672
"Vitvi06g00342",0.449874207292219,0.00590725996608226,1,0.00786244718622871,632
"Vitvi06g00345",0.411175350750953,0.0127285678576514,1,0.0157162250105023,8
"Vitvi06g00358",-0.382151208345003,0.0214447164072558,1,0.025139322839951,79
"Vitvi06g00360",-0.343452351803737,0.0402822983143647,1,0.0451334083186828,784
"Vitvi06g00378",-0.727071795148225,5.10902637354991e-07,0.0043350088779571,2.35087249346914e-06,1762
"Vitvi06g00379",0.45202248210053,0.00564613925901835,1,0.00764196707812581,45
"Vitvi06g00383",-0.803007004216183,3.79739950079121e-09,3.22209347642134e-05,3.85417879954706e-08,2348
"Vitvi06g00387",0.372476494209687,0.0252748166470031,1,0.0292773814675525,35
"Vitvi06g00393",-0.556734056756734,0.000421261179223091,1,0.000822646974846473,1240
"Vitvi06g00396",-0.750289519408583,1.37448227308175e-07,0.00116624820870987,7.4855469108464e-07,1677
"Vitvi06g00397",0.550213483781412,0.000507881816015973,1,0.000969639201107311,92
"Vitvi06g00399",-0.215248801000253,0.20739737841139,1,0.215763457064817,77
"Vitvi06g00405",-0.615682368648623,6.41873880190989e-05,0.544629987342054,0.000155786609651617,1688
"Vitvi06g00406",0.304753495262471,0.0707229426338605,1,0.0767665559995275,23
"Vitvi06g00407",0.39182592248032,0.0181099832764267,1,0.0215819112500674,1178
"Vitvi06g00408",0.478898349698169,0.00312849885508842,1,0.00444943224697037,1165
"Vitvi06g00411",-0.55885762556771,0.000396041802305422,1,0.00077949772502007,229
"Vitvi06g00412",-0.731709666055489,3.97281655814094e-07,0.00337093484958259,1.85931320991869e-06,475
"Vitvi06g00414",-0.478898349698169,0.00312849885508842,1,0.00444943224697037,64
"Vitvi06g00417",-0.690917489550654,3.09424313313362e-06,0.0262546529846388,1.12103556723479e-05,2575
"Vitvi06g00435",-0.552471922567315,0.000476236747738388,1,0.000915051812626864,2484
"Vitvi06g00442",0.440199493156902,0.00721598030084792,1,0.0094603820847798,434
"Vitvi06g00443",0.39182592248032,0.0181099832764267,1,0.0215819112500674,473
"Vitvi06g00447",-0.773446603340947,3.19602962058211e-08,0.000271183113306392,2.61507341664797e-07,2445
"Vitvi06g00449",-0.478898349698169,0.00312849885508842,1,0.00444943224697037,6
"Vitvi06g00452",-0.622232181081055,5.08592315170758e-05,0.431540579422388,0.000127636965224014,1303
"Vitvi06g00453",-0.149958069097406,0.382692613049351,1,0.389766753297773,202
"Vitvi06g00455",0.737939074644656,2.81075640112032e-07,0.00238492680635059,1.37777400713494e-06,240
"Vitvi06g00459",-0.884224678378342,8.74713631353133e-13,7.42194516203133e-09,8.83564900241825e-11,2515
"Vitvi06g00463",-0.441528400310401,0.00702267812889194,1,0.00929455996313338,367
"Vitvi06g00465",-0.653563077075292,1.54713115867318e-05,0.131274078813419,4.8280279078124e-05,109
"Vitvi06g00474",-0.478898349698169,0.00312849885508842,1,0.00444943224697037,29
"Vitvi06g00477",0.583558515095565,0.00018714223369946,1,0.00039866980992717,23
"Vitvi06g00481",0.459548921427535,0.00480814938579871,1,0.00657382332234967,48
"Vitvi06g00495",-0.824392187992147,6.42105911361328e-10,5.44826865790087e-06,1.04109350158145e-08,1590
"Vitvi06g00498",-0.678679836599203,5.37727468533649e-06,0.0456261757050801,1.82943767863192e-05,566
"Vitvi06g00500",-0.482145836303299,0.00290369219605114,1,0.00444943224697037,46
