"set","gene","mean_within_condition_variance","median_within_condition_variance"
"Shared","Vitvi09g02044",0.118219584104247,0.0526789424192828
"Shared","Vitvi09g01807",0.119998566398955,0.0809504063988941
"Shared","Vitvi09g01031",0.151845203906774,0.0530739296245146
"Shared","Vitvi09g04475",0.827363350496706,0.223055673113927
"Shared","Vitvi09g01214",0.0879534613254569,0.00938358546129232
"Shared","Vitvi09g01310",0.0709074053056484,0.0371170156763178
"Shared","Vitvi09g04535",0.695909591905505,0.148853391060566
"Shared","Vitvi09g04536",0.44448007734219,0.0903422066178523
"Shared","Vitvi09g04541",0.120329468704913,0.0221253432589383
"Shared","Vitvi09g04548",0.264801710235715,0.106569050817663
"Shared","Vitvi09g01335",1.36403156111024,0.559357071286869
"Shared","Vitvi09g01951",0.326591882473989,0.0913980151221878
"Shared","Vitvi09g04564",0.148456859018989,0.0494455730777856
"Shared","Vitvi09g04565",1.5560187361695,0.769491598556324
"Shared","Vitvi09g01376",0.0530066373225677,0.0210774812999409
"Shared","Vitvi09g04597",0.620405290961986,0.182306409312847
"Shared","Vitvi07g03194",0.443917561569227,0.153506545146965
"Shared","Vitvi00g04361",0.417568704040549,0.317868856974628
"Shared","Vitvi07g03083",0.274584840081563,0.088258722422458
"Shared","Vitvi10g02289",0.161433961242317,0.058588083236082
"Shared","Vitvi01g04002",0.0294268281717224,0.0233953160580163
"Shared","Vitvi01g00002",0.484324386064245,0.132066420228626
"Shared","Vitvi01g00036",0.550293887449136,0.279301276378812
"Shared","Vitvi01g00067",0.115217424565492,0.0558495466346176
"Shared","Vitvi01g00088",0.0777376384061487,0.0301827673742747
"Shared","Vitvi01g00095",0.144748349356392,0.0619437416278056
"Shared","Vitvi01g00148",0.137387972910124,0.064931325561697
"Shared","Vitvi01g04052",0.19889408524088,0.0132353925047485
"Shared","Vitvi01g00228",0.185440280956354,0.11321557977067
"Shared","Vitvi01g00258",1.9144823661238,0.478934443155341
"Shared","Vitvi01g00280",2.07032840762144,0.679180762854855
"Shared","Vitvi01g00284",0.794437997084833,0.0940405753773242
"Shared","Vitvi01g00318",0.795699885232043,0.216563159829009
"Shared","Vitvi01g00337",0.98376594636633,0.0772718743742008
"Shared","Vitvi01g04115",0.574831145568917,0.168932661358184
"Shared","Vitvi01g00458",0.160396080314027,0.129666756352112
"Shared","Vitvi01g00497",0.214995596915336,0.123677061225005
"Shared","Vitvi01g00636",0.573235007244388,0.138822547804411
"Shared","Vitvi01g04178",0.655354924190247,0.467588261348723
"Shared","Vitvi01g00745",0.774836533758907,0.28035406806639
"Shared","Vitvi01g00784",0.342589775639649,0.18282580558915
"Shared","Vitvi01g04204",0.549136791187022,0.352632532600552
"Shared","Vitvi01g04207",0.0376145983987915,0.0345254734382092
"Shared","Vitvi01g00822",0.292955320204156,0.102148023057296
"Shared","Vitvi01g00845",0.0358388199700883,0.0165379285477816
"Shared","Vitvi01g00995",0.352230283263403,0.111607094182884
"Shared","Vitvi01g01006",0.332888090298155,0.083998356309695
"Shared","Vitvi01g04267",0.618614936971651,0.111349281070069
"Shared","Vitvi01g01282",0.435467739806354,0.154896618678391
"Shared","Vitvi01g01376",0.865789181981326,0.319229643491185
"Shared","Vitvi01g01434",0.594864588333927,0.221199120135572
"Shared","Vitvi01g01557",0.565767702594355,0.204543468036367
"Shared","Vitvi01g01578",0.16645365388712,0.111212965331108
"Shared","Vitvi01g02242",0.0241837231170737,0.0205298111308378
"Shared","Vitvi01g01657",0.627795151465846,0.35921670415171
"Shared","Vitvi01g02274",0.203055073876925,0.100616074672167
"Shared","Vitvi01g01727",0.309189688660168,0.0658710105201133
"Shared","Vitvi01g01751",0.039724230383738,0.0127675880091695
"Shared","Vitvi01g01761",0.204865915702873,0.0831009824704787
"Shared","Vitvi01g01782",0.498440379731236,0.17912451442409
"Shared","Vitvi01g01791",0.209915299943186,0.0680883909465881
"Shared","Vitvi10g00017",0.0877149421568864,0.0103211542181908
