"gene","historical_3553","new_min_FDR","new_max_abs_log2FC","FDR_percentile","absLFC_percentile"
"Vitvi04g01751",FALSE,0.0141750202125024,0.379098601404746,0.547747334632581,0.767587603653177
"Vitvi04g01754",FALSE,0.0289064219979752,0.767852221138633,0.627077840192594,0.468072910695861
"Vitvi04g01756",FALSE,0.0331616792991075,0.893826870237006,0.643853414345218,0.410141770797509
"Vitvi04g01757",FALSE,Inf,0.117129501216793,0.970728724827085,0.929458519622454
"Vitvi04g01759",FALSE,0.0794030919021149,0.530682323287976,0.747525698345371,0.632121976384271
"Vitvi04g01760",FALSE,0.000833584408693513,0.742878918587516,0.306985364362414,0.480836103786923
"Vitvi04g01763",FALSE,0.000686837173620882,0.401264645451753,0.295273032977951,0.747372845733501
"Vitvi04g01769",FALSE,Inf,0.0541863721373538,0.970728724827085,0.957698039665253
"Vitvi04g01775",FALSE,3.00736247349606e-06,0.716463588724705,0.112805227559326,0.497802743704383
"Vitvi04g01777",FALSE,8.93944693833911e-05,0.810372821302589,0.201077610913676,0.447055676563873
"Vitvi04g01778",FALSE,0.0247760155834537,0.286767110383002,0.609805495051397,0.845618862012305
"Vitvi04g01780",FALSE,0.161445412839829,0.246776255717978,0.82857579578891,0.874202300431809
"Vitvi04g01781",TRUE,6.6989395030838e-05,2.08970759580768,0.190454354388781,0.178073292827391
"Vitvi04g01782",FALSE,0.0112294536049644,0.63580596206792,0.522603079980129,0.549849058045779
"Vitvi04g01786",FALSE,0.31790990306122,0.322597815693532,0.896365929152814,0.817302915663571
"Vitvi04g01787",FALSE,1.58471773657603e-07,1.633250903432,0.0752034850395506,0.233023806794299
"Vitvi04g01788",FALSE,0.00284005158739937,0.610844244242259,0.39497114906951,0.567923879399289
"Vitvi04g01789",FALSE,Inf,0.0324367646751378,0.970728724827085,0.981428407657916
"Vitvi04g01791",FALSE,0.00298487104167452,0.546660104671712,0.399059956437006,0.618823799151668
"Vitvi04g01792",FALSE,0.00935147036013621,1.28089532161056,0.502311895754519,0.294050212082999
"Vitvi04g01794",FALSE,0.795437802451484,0.0374302671399976,0.939737857770645,0.973976842829302
"Vitvi04g01795",FALSE,Inf,0.0282311578392302,0.970728724827085,0.985670067637281
"Vitvi04g01797",FALSE,Inf,0.0672211174560218,0.970728724827085,0.950017195918835
"Vitvi04g01799",FALSE,0.934881163630209,0.126610680441676,0.941304597042302,0.926668959455845
"Vitvi04g01802",FALSE,0.018866377319978,0.499020499876889,0.578394283312316,0.656693033742214
"Vitvi04g01805",FALSE,0.0197896020917699,0.646796359665053,0.584470174634109,0.542741411593871
"Vitvi04g01806",FALSE,0.00427311594395064,0.822561967475868,0.428770682869044,0.441132637853949
"Vitvi04g01808",TRUE,0.0171779808671047,1.59692349033258,0.569184913447209,0.238182582444878
"Vitvi04g01809",FALSE,0.419037343923433,0.335957634088087,0.916007489777982,0.805877182926363
"Vitvi04g01813",FALSE,2.9473843680498e-05,1.13877283008657,0.163456761817418,0.327983491917918
"Vitvi04g01815",FALSE,Inf,0.0540222869215835,0.970728724827085,0.958003744888991
"Vitvi04g01817",FALSE,0.000188743698233907,0.844968916959208,0.230463525545493,0.430929726011693
"Vitvi04g01819",FALSE,0.00520554042003782,0.910448600597808,0.445794642515954,0.402575566509993
"Vitvi04g01820",FALSE,Inf,0.0512977469278667,0.970728724827085,0.959799763078452
"Vitvi04g01821",FALSE,0.002426997331683,0.778946760192196,0.384481638579999,0.462379150903741
"Vitvi04g01824",FALSE,0.0216511053023373,0.533856608516328,0.595055218006038,0.628988497840957
"Vitvi04g01825",FALSE,0.224378887682988,0.351079092612443,0.864457946425159,0.792464366234858
"Vitvi04g01826",FALSE,0.0044614921078953,1.73770051796878,0.432515571859834,0.219114219114219
"Vitvi04g01827",FALSE,0.15497408592071,0.330449109807712,0.823952004279873,0.810730253353204
"Vitvi04g01828",FALSE,0.0698623760111341,0.907338416526799,0.732355076617372,0.403989453169781
"Vitvi04g01830",FALSE,0.609232519340468,0.114401422137811,0.933241621766212,0.930452061599603
"Vitvi04g01831",FALSE,0.0106419130736955,0.952785517236162,0.515571859834155,0.387252092170125
"Vitvi04g01832",FALSE,0.143275840302235,0.726202024200171,0.816882570980932,0.490886163017311
"Vitvi04g01833",FALSE,0.145785755970858,0.728133394969827,0.818602162864458,0.489663342122359
"Vitvi04g01834",FALSE,0.000769234560661573,0.69454646932777,0.30238067942986,0.511024494631052
"Vitvi04g01835",FALSE,0.0633744518437722,0.576667064926346,0.720776491268295,0.594864152241201
"Vitvi04g01836",FALSE,0.00299883786167677,1.14360731916566,0.399461194543162,0.326722457869999
"Vitvi04g01837",FALSE,0.00271259051972186,0.58131118733154,0.391799457373228,0.591157476403378
"Vitvi04g01838",FALSE,0.288658979542964,0.448134299680874,0.887653330276281,0.70262524360885
"Vitvi04g01840",FALSE,0.0985510746477411,0.300649324621692,0.773090297680462,0.835033818640376
"Vitvi04g01841",FALSE,Inf,0.0577102816517066,0.970728724827085,0.955214184722381
"Vitvi04g01842",FALSE,0.669975724799642,0.192758170382855,0.936413313462494,0.901104360120754
"Vitvi04g01845",FALSE,0.0673191065113978,0.39736274690807,0.727578432496465,0.750812029500554
"Vitvi04g01846",FALSE,0.467618453066944,0.292141413002853,0.921701249570102,0.841071496809202
"Vitvi04g01848",FALSE,0.00457116419877577,1.52107796634873,0.434579082120066,0.2505254308533
"Vitvi04g01849",FALSE,0.0139109423288467,0.909198845476391,0.545855783560702,0.403072337498567
"Vitvi04g01850",FALSE,0.408126587765632,0.388803678318317,0.913600061141045,0.758072528564332
"Vitvi04g01852",FALSE,0.124528358530422,0.427300575720436,0.800718407275784,0.72306928044633
"Vitvi04g01854",FALSE,0.0183258483629524,0.558164813013317,0.57625434674615,0.610072987122167
"Vitvi04g01855",FALSE,0.0137294442271674,0.666843378152693,0.544365470594979,0.528335052925217
"Vitvi04g01856",FALSE,0.020002302187822,0.658426890646609,0.585692995529061,0.534258091635141
