"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","DE_primary"
"Vitvi07g01911",3482.97470846372,-0.140874204261859,-0.133821777223894,0.148602829372988,-0.908201136333886,0.363771963848004,0.538231053798778,FALSE
"Vitvi07g04750",118.786048766547,-0.0972376994748917,-0.0616057670349065,0.293149297079651,-0.266293739299911,0.790012994400322,0.876379586595977,FALSE
"Vitvi07g02707",621.64944802255,-0.304626196805397,-0.288353251313608,0.122026414417246,-2.44854828737435,0.0143433202736794,0.0479915677891168,FALSE
"Vitvi07g01913",2469.22282177308,0.0230351431811679,0.0216661886486775,0.127289955690675,0.174664784396611,0.861343040324576,0.919693811856819,FALSE
"Vitvi07g04751",2.37553239599821,-1.44129044377465,-0.180697414384494,0.498618450884476,-1.08849554807925,0.276376400865,NA,FALSE
"Vitvi07g01916",290.997735729341,-0.764598627678384,-0.583876141304413,0.345170618395633,-2.16714294754701,0.0302239560369671,0.0859353067001431,FALSE
"Vitvi07g01917",1801.71641769931,0.341007997840252,0.327554095122731,0.108316872603115,3.10845993526728,0.00188065142702754,0.00906984862259406,FALSE
"Vitvi07g04752",0.883110641330096,-3.38819580491281,-0.0649143553328295,0.490378792882526,-1.02782413830173,0.30403255956219,NA,FALSE
"Vitvi07g02708",1170.02896499254,0.208315526228356,0.196751264901923,0.120763861037971,1.68240306726369,0.0924907070225706,0.202339842358908,FALSE
"Vitvi07g01918",505.794419149595,-0.597420973465105,-0.558169143184425,0.164181105199386,-3.61463174294575,0.000300774841340073,0.00192038459305008,FALSE
"Vitvi07g01919",126.744349318878,0.0972916380025331,0.0722091396232864,0.250575659568069,0.335171756821308,0.737495525838501,0.841145169168829,FALSE
"Vitvi07g01920",276.82937397303,-0.855621957625343,-0.767351785952877,0.247726805242416,-3.47533027928983,0.000510224737788614,0.00301464531581241,FALSE
"Vitvi07g01921",477.586995052465,-4.83549496726914,-4.71184314294576,0.546092446360382,-8.9610488013057,3.21604675083903e-19,3.12292122318429e-17,TRUE
"Vitvi07g01923",2236.65917031498,-2.30073687906748,-2.19876372473418,0.355017039689024,-6.60723385355879,3.91567255378861e-11,1.28041919203975e-09,TRUE
"Vitvi07g01924",995.255944767183,0.0253773290343318,0.0236508790813596,0.133474423249269,0.182775916624046,0.854973846018669,0.916573987278882,FALSE
"Vitvi07g01927",3296.08956189324,0.300941758214935,0.22867456334983,0.258738520347099,1.03741601997193,0.299542015488508,0.471622937886524,FALSE
"Vitvi07g01929",73632.5091477583,0.115590717723607,0.0924713141865968,0.209833000878868,0.498568827355539,0.618083170283057,0.75546773473751,FALSE
"Vitvi07g01930",387.915319043758,0.068450418571595,0.0564420439866233,0.207594937015952,0.298557615041114,0.765277609412132,0.860133366645391,FALSE
"Vitvi07g01934",17233.3943445852,-0.810763682842755,-0.733516832781205,0.239493720968271,-3.40479238221585,0.000662143746045243,0.00376484684933158,FALSE
"Vitvi07g01936",247.712057623977,-0.260385100518768,-0.223214853774656,0.194570226621632,-1.25617145832816,0.20905381247742,0.368233994428581,FALSE
"Vitvi07g01937",988.372609691453,-0.0573115475899672,-0.0482546425109724,0.189977487311958,-0.278022133670194,0.780995368096692,0.870787806453573,FALSE
"Vitvi07g01941",3.39577702273887,1.12436385985952,0.167208883074079,0.485019557206628,0.93915859513402,0.347649323739178,NA,FALSE
"Vitvi07g01943",5.8778226008076,-1.34569106243409,-0.0993534659053611,0.482700403040346,-0.789544037124383,0.429794102049301,0.598592010175174,FALSE
"Vitvi07g01946",4317.37135565257,0.0293561303634644,0.0275747003853552,0.132724283140141,0.212786697315183,0.831493340143585,0.902344149075471,FALSE
"Vitvi07g01947",1587.82849717857,-0.483988216635703,-0.404037794619602,0.238774936570885,-1.93739685402504,0.052696850907016,0.1319725799683,FALSE
"Vitvi07g01948",251.651504128857,-0.545360715423738,-0.435972334697392,0.272972317429323,-1.90158716540932,0.0572251471563471,0.140663266188626,FALSE
"Vitvi07g01949",2594.85710098355,-0.481598179263798,-0.434752560152443,0.18309530821412,-2.57303952348746,0.0100809694755247,0.0360641313897754,FALSE
"Vitvi07g01951",81.6718516459421,-0.938040908651791,-0.699234938813835,0.405803830739346,-2.32539905890077,0.0200506317630156,0.0626046148182847,FALSE
"Vitvi07g01952",4895.23840900002,-0.0475611499999113,-0.0431126395548599,0.135441394061821,-0.337401822031304,0.735814011316671,0.840167184496244,FALSE
"Vitvi07g01954",33.7897287349137,-1.54845032187521,-1.09047650996948,0.654502145202493,-2.63050084635639,0.0085259157318013,0.0315888855265511,TRUE
"Vitvi07g04758",1.83812301302462,4.24070404037438,0.169539831437412,0.524851127985297,1.90819138734843,0.0563664843885195,NA,FALSE
"Vitvi07g01955",10.2619110545017,0.444041629485492,0.0758463067031605,0.449799185045251,0.414814880973684,0.678277425065254,0.799274416261667,FALSE
"Vitvi07g01956",910.608877588375,-3.18950242219786,-3.04240146366584,0.490501413243541,-6.65135004418011,2.90416650469891e-11,9.62164937970772e-10,TRUE
"Vitvi07g02711",1.15867205699292,-0.743124955828843,-0.0245983764204324,0.478258727425275,-0.282442686805067,0.777604087432507,NA,FALSE
"Vitvi07g04759",1.53861153180735,-1.23110829202597,-0.0450159548322727,0.479852227069271,-0.50084503903701,0.616480185319014,NA,FALSE
"Vitvi07g01957",115.606092786497,-0.426868592702519,-0.287874209404741,0.315312682115075,-1.17256358745938,0.24097085856884,0.406745824524445,FALSE
"Vitvi07g01958",430.802501093218,0.487810669372051,0.464470119296954,0.130611785590091,3.70192852250429,0.000213966902880848,0.00143161677919139,FALSE
"Vitvi07g01959",153.334073152156,0.883935054029201,0.791896289552368,0.255493639042398,3.49365635344544,0.000476453892744761,0.0028376323308164,FALSE
"Vitvi07g01961",5876.01159348145,1.46598606757404,1.35744899044346,0.310550166564027,4.84096702665951,1.29208812919994e-06,1.66134117890336e-05,TRUE
"Vitvi07g01964",567.810470282923,-0.00104691079405563,-0.000792087042357446,0.156100417789864,-0.0063526290236588,0.994931369473058,0.997427326743254,FALSE
"Vitvi07g01965",6.79699328281202,-1.98419638722298,-0.580671539973428,0.846304873972372,-2.0112731378072,0.044296614218329,0.115655901560926,FALSE
"Vitvi07g04762",16.6096157557963,-2.11709485109784,-1.79993898293144,0.609386767857798,-3.69656961673193,0.000218532352819864,0.00145779616722785,TRUE
"Vitvi07g01966",828.836064037381,0.009914159235893,0.00943311798895118,0.123491033078697,0.077619184683659,0.938130981249956,0.966519851242574,FALSE
"Vitvi07g04763",413.815646419157,0.397693082434228,0.355240084056217,0.183373317403512,2.09644651725163,0.0360425995916669,0.0987578725653647,FALSE
"Vitvi07g02714",350.128422349259,-0.441356442932371,-0.377844228276882,0.216844880227644,-1.94914177092838,0.0512784964920659,0.129196165476063,FALSE
"Vitvi07g01970",44.8775059430083,-0.599333913054098,-0.412728978499513,0.345312173115934,-1.57493514135059,0.115271416188652,0.238156504084863,FALSE
"Vitvi07g01973",1000.25784468924,0.408708590279098,0.351703024584035,0.210742347740929,1.85255275490894,0.0639464894875162,0.153386413512425,FALSE
"Vitvi07g01977",280.135751618878,-1.40713103258649,-1.25227020314487,0.366411693788608,-3.97450530714649,7.05256896934754e-05,0.000550356657447267,TRUE
