"gene","bio1_0_mock","bio1_120_mock","bio1_12_mock","bio1_12_inoculated","bio1_24_mock","bio1_24_inoculated","bio1_48_mock","bio1_48_inoculated","bio1_96_mock","bio1_96_inoculated","bio2_0_mock","bio2_120_mock","bio2_12_mock","bio2_12_inoculated","bio2_24_mock","bio2_24_inoculated","bio2_48_mock","bio2_48_inoculated","bio2_96_mock","bio2_96_inoculated","bio3_0_mock","bio3_12_mock","bio3_12_inoculated","bio3_24_mock","bio3_24_inoculated","bio3_48_mock","bio3_48_inoculated","bio3_96_mock","bio3_96_inoculated"
"Vitvi03g00132",5.93896512140407,6.3858359594595,5.72799629313143,5.72579137485623,5.92409601480243,6.21744461698092,5.9791488942194,5.98722330658071,5.90173683975462,5.9082956103729,5.23151241448,6.27064322511966,6.18585937831552,6.36060668786036,6.00037253579218,5.91389277916725,5.69462520076706,5.83207688633856,5.82279323296858,5.87843991601207,5.65802888726583,6.04223468560857,6.17826064621667,5.92030329759335,5.82672112386439,6.16755546368355,6.26758781011609,5.97381077971944,5.97766121870571
"Vitvi03g00133",10.0183529650232,9.32761700429178,9.22923596383399,9.54561375866026,10.3421061890288,10.115491501975,10.1134188115423,9.67396066124231,8.46902397542535,8.59601628996222,9.73176875635862,9.00260055975455,10.1284339750423,9.46296448500577,10.6064592932481,9.95498166077747,9.87639646681054,10.0974298580589,8.59939312843776,8.48665254354241,9.64615767911094,10.47387520054,9.94075377213371,10.1748251389996,10.3031537219105,9.96119691582068,10.3997742869011,8.66391427086475,8.45201574195113
"Vitvi03g00134",2.17349154746785,1.77776691847111,1.90003928643357,1.84520643588748,2.25986524911423,2.12740091302805,1.97205429531379,1.85716195854205,2.33322951430899,2.01276029510572,2.61033642524489,2.40734342357079,1.80909827001202,2.0567716218158,1.82881691933156,1.74631911956186,1.90724961925817,1.98988994040576,2.22675515982979,1.92958238635331,2.61550877756679,2.05851484841767,1.74511926275388,2.30049128186505,1.84310019520487,1.98883056350162,1.84233927211445,1.95559478380859,2.02303345490937
"Vitvi03g04063",-0.546384252563944,-0.846032628217033,-0.731566235505266,-0.774761168827754,-0.838955628091243,-0.848921515939875,-0.582909452684569,-0.820274715345318,-0.847873184340414,-0.847991742144066,-0.85198826391167,-0.845463900924377,-0.606101780566729,-0.851516730594653,-0.829524984558099,-0.848978691542715,-0.849486365802803,-0.849057910535407,-0.843881353792952,-0.834289213561734,-0.840175181324341,-0.829141670460687,-0.849089944339208,-0.850371794570712,-0.655734397045011,-0.507765125891059,-0.584010685654176,-0.846848706295877,-0.836303997857135
"Vitvi03g00135",11.8140510307527,10.8095840653894,11.4006997816938,11.3564799270773,11.0568621159389,11.1491758396852,11.1505752525687,11.0505829094804,10.8665582422003,11.153650668201,11.7285161670213,10.9878998801119,11.4001601869075,11.4409803710822,11.079353610532,11.1392121121456,11.0412210422001,11.1803436472795,11.0165651898997,11.0208836384571,11.7278923136148,11.4884269255424,11.2874066969693,11.0142625050729,11.2026415467045,11.2654226293583,11.3949474123617,11.059987824875,11.2774381556341
"Vitvi03g00136",9.181285087745,9.4680878827505,10.6564274496532,10.480721723049,9.06960816003636,9.27724287527331,9.4404713893734,9.46250513857963,10.5226571257498,10.6533928426233,9.48707811582794,9.70893461700136,9.61154982597022,10.2076183703491,9.13793690302107,9.41224403628117,9.36921979139458,9.43704845464553,10.6397821788303,10.7204248520079,9.46568905870116,9.33272378223019,9.5586714328268,9.16067361469061,9.20814481563591,9.49987828999726,9.10874986395937,10.7224198966343,10.7870634076116
"Vitvi03g00137",13.7232835954812,13.2476961283197,13.5951808049931,13.6105516050107,13.5963581760219,13.5618198941152,13.4919086766586,13.4209317921697,13.3122097322099,13.2948741815373,13.8267880464721,13.3085496379751,13.7758818864346,13.7332212838112,13.6492270041715,13.6534141759551,13.5478390580895,13.5299258562457,13.3702154232442,13.3783459865896,14.041603473162,13.8372970983904,13.7067873584122,13.7118278788485,13.628914591613,13.7148977942583,13.6144526390059,13.4668658927521,13.4563055363753
"Vitvi03g00139",13.6214961777735,13.9074958915816,13.6287244266912,13.6853335645523,13.6617848888135,13.6950943609603,13.7935911302513,13.7195537375978,13.900544274807,14.056192091647,13.6439124642866,13.9350683788727,13.7289026795195,13.6483873695987,13.6949105269341,13.6411813125757,13.717808845432,13.7711405489951,13.8539180624739,14.0066547972376,13.5955430376413,13.8543278425963,13.7631100086577,13.6145320279566,13.6654407830048,13.8015927874126,13.8158318624834,13.9853868449808,14.0665676240124
"Vitvi03g00141",2.25366167893958,1.64325255785992,2.01835909204205,2.19724786044458,2.08173933808637,1.97344739468776,2.50097480695215,1.96771444917248,1.63261692890728,1.63192926584999,2.26976663558661,1.64625103343014,2.3173988877235,2.14600690527583,1.67116567023686,1.97220649732716,2.0939796718619,2.27802008750069,1.87178678516594,1.90929592958501,1.88602803954973,2.58631587060428,2.10467415188974,1.79348167910724,2.18396228914619,2.16512404493302,2.34041354251995,1.63854596269505,1.66025768022441
"Vitvi03g04064",2.61491654897745,2.10877073934419,2.36676444744993,2.64186413766846,3.26422597769834,2.59070992346384,3.07794943289356,2.33710940359191,2.35290661537102,2.18066462444767,2.31756059418984,2.22228921972841,2.13348999111002,2.26533977183664,3.28208395654795,2.69762311736965,2.86383890240213,2.69475976099079,2.22907811461387,2.01988864303792,2.24521254518231,2.9668451110199,2.79132248186617,2.54249680194482,2.48155992121753,2.96127707648574,2.04073560659233,1.98516592901888,2.01546420001081
