"power","gene","WGCNA_module"
20,"Vitvi02g01360","skyblue"
20,"Vitvi02g04106","blue"
20,"Vitvi02g04134","green"
20,"Vitvi02g04135","green"
20,"Vitvi03g00318","grey"
20,"Vitvi03g00692","turquoise"
20,"Vitvi03g01258","lightgreen"
20,"Vitvi03g01809","tan"
20,"Vitvi03g04266","red"
20,"Vitvi03g04466","lightgreen"
20,"Vitvi04g00017","turquoise"
20,"Vitvi04g01325","lightyellow"
20,"Vitvi04g01375","lightyellow"
20,"Vitvi04g01550","blue"
20,"Vitvi04g01887","blue"
20,"Vitvi04g02114","turquoise"
20,"Vitvi04g04010","red"
20,"Vitvi04g04011","red"
20,"Vitvi04g04029","lightgreen"
20,"Vitvi05g00108","blue"
20,"Vitvi05g00675","blue"
20,"Vitvi05g00726","blue"
20,"Vitvi05g01579","tan"
20,"Vitvi05g01674","darkgrey"
20,"Vitvi05g02234","green"
20,"Vitvi05g04062","tan"
20,"Vitvi05g04232","lightyellow"
20,"Vitvi05g04487","green"
20,"Vitvi05g04494","green"
20,"Vitvi06g01410","purple"
20,"Vitvi06g01618","red"
20,"Vitvi06g04121","red"
20,"Vitvi07g00283","turquoise"
20,"Vitvi07g00523","blue"
20,"Vitvi07g00890","green"
20,"Vitvi07g01267","turquoise"
20,"Vitvi07g01315","tan"
20,"Vitvi07g01342","black"
20,"Vitvi07g01407","skyblue"
20,"Vitvi07g01719","pink"
20,"Vitvi07g01829","blue"
20,"Vitvi07g02323","green"
20,"Vitvi07g03086","pink"
20,"Vitvi08g00795","lightyellow"
20,"Vitvi08g00957","purple"
20,"Vitvi08g01235","green"
20,"Vitvi08g01333","lightgreen"
20,"Vitvi08g01617","red"
20,"Vitvi08g01846","turquoise"
20,"Vitvi08g01897","turquoise"
20,"Vitvi08g02218","red"
20,"Vitvi08g02288","orange"
20,"Vitvi09g00419","tan"
20,"Vitvi09g00867","red"
20,"Vitvi09g01646","blue"
20,"Vitvi09g01698","pink"
20,"Vitvi09g04280","red"
20,"Vitvi10g00562","turquoise"
20,"Vitvi10g00984","red"
20,"Vitvi10g01812","turquoise"
20,"Vitvi10g04044","red"
20,"Vitvi10g04085","red"
20,"Vitvi10g04276","turquoise"
20,"Vitvi10g04282","blue"
20,"Vitvi10g04464","lightyellow"
20,"Vitvi10g04504","red"
20,"Vitvi11g00075","blue"
20,"Vitvi11g00217","red"
20,"Vitvi11g00285","purple"
20,"Vitvi11g00286","turquoise"
20,"Vitvi11g01637","lightgreen"
20,"Vitvi12g00368","darkgreen"
20,"Vitvi12g01776","green"
20,"Vitvi12g01881","blue"
20,"Vitvi12g01882","darkgrey"
20,"Vitvi12g01921","tan"
20,"Vitvi12g02011","tan"
20,"Vitvi12g02633","tan"
20,"Vitvi12g04108","tan"
20,"Vitvi12g04404","tan"
20,"Vitvi12g04463","tan"
20,"Vitvi12g04498","tan"
20,"Vitvi12g04515","tan"
20,"Vitvi12g04518","lightgreen"
20,"Vitvi12g04543","pink"
20,"Vitvi12g04545","tan"
20,"Vitvi12g04595","red"
20,"Vitvi12g04598","tan"
20,"Vitvi12g04607","tan"
20,"Vitvi12g04630","green"
20,"Vitvi13g00004","turquoise"
20,"Vitvi13g00551","turquoise"
20,"Vitvi13g01098","blue"
20,"Vitvi13g01468","red"
20,"Vitvi13g01608","red"
20,"Vitvi13g01616","red"
20,"Vitvi13g01638","red"
20,"Vitvi13g01984","red"
20,"Vitvi13g04528","red"
20,"Vitvi13g04529","red"
20,"Vitvi13g04677","red"
20,"Vitvi13g04698","red"
20,"Vitvi13g04706","red"
20,"Vitvi14g00438","blue"
20,"Vitvi14g01926","turquoise"
20,"Vitvi14g04416","lightyellow"
20,"Vitvi15g01247","pink"
20,"Vitvi16g00901","red"
20,"Vitvi16g04295","turquoise"
20,"Vitvi16g04448","tan"
20,"Vitvi17g00339","darkgrey"
20,"Vitvi17g00461","tan"
20,"Vitvi17g00704","turquoise"
20,"Vitvi17g00936","blue"
20,"Vitvi17g01373","blue"
20,"Vitvi18g00174","red"
20,"Vitvi18g00191","tan"
20,"Vitvi18g00462","red"
20,"Vitvi18g00473","turquoise"
20,"Vitvi18g02222","red"
20,"Vitvi18g02825","turquoise"
20,"Vitvi18g02837","blue"
20,"Vitvi18g04551","pink"
20,"Vitvi18g04640","green"
20,"Vitvi19g00270","blue"
20,"Vitvi19g00476","red"
20,"Vitvi19g00709","red"
20,"Vitvi19g01484","blue"
20,"Vitvi19g01610","red"
