"gene","genotype","pattern","category","group"
"Vitvi14g02597","Rpv12","EED","LR","Group_II"
"Vitvi14g02607","Rpv12","DDD","SCh","Group_I"
"Vitvi14g02608","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02617","Rpv12","UEE","IEV","Group_II"
"Vitvi14g02633","Rpv12","EED","LR","Group_VI"
"Vitvi14g02637","Rpv12","EED","LR","Group_V"
"Vitvi14g02645","Rpv12","DED","CP","Group_V"
"Vitvi14g02647","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02655","Rpv12","EUE","TRS","Group_VI"
"Vitvi14g02659","Rpv12","DEE","IEV","Group_VI"
"Vitvi14g02660","Rpv12","EUE","TRS","Group_IV"
"Vitvi14g02663","Rpv12","UUU","SCh","Group_I"
"Vitvi14g02674","Rpv12","DEE","IEV","Group_V"
"Vitvi14g02690","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02693","Rpv12","UEE","IEV","Group_II"
"Vitvi14g02695","Rpv12","UEE","IEV","Group_II"
"Vitvi14g02707","Rpv12","UUU","SCh","Group_I"
"Vitvi14g02714","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02720","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02729","Rpv12","EEU","LR","Group_VI"
"Vitvi14g02748","Rpv12","UEE","IEV","Group_II"
"Vitvi14g02749","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02757","Rpv12","EDE","TRS","Group_VI"
"Vitvi14g02758","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02762","Rpv12","EED","LR","Group_II"
"Vitvi14g02812","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02829","Rpv12","EDE","TRS","Group_VI"
"Vitvi14g02836","Rpv12","EDD","ER","Group_VI"
"Vitvi14g02844","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02845","Rpv12","UED","CP","Group_III"
"Vitvi14g02857","Rpv12","EED","LR","Group_VI"
"Vitvi14g02866","Rpv12","EED","LR","Group_VI"
"Vitvi14g02869","Rpv12","EDE","TRS","Group_VI"
"Vitvi14g02888","Rpv12","DEE","IEV","Group_II"
"Vitvi14g02911","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02912","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02915","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02920","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02923","Rpv12","EDD","ER","Group_VI"
"Vitvi14g02924","Rpv12","UEE","IEV","Group_II"
"Vitvi14g02927","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02928","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02929","Rpv12","UEU","CP","Group_III"
"Vitvi14g02930","Rpv12","EEE","EEE","Group_V"
"Vitvi14g02932","Rpv12","EED","LR","Group_VI"
"Vitvi14g02934","Rpv12","UED","CP","Group_V"
"Vitvi14g02935","Rpv12","EDD","ER","Group_VI"
"Vitvi14g02946","Rpv12","EDE","TRS","Group_VI"
"Vitvi14g02948","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g02990","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g02997","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g03000","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g03001","Rpv12","EEU","LR","Group_II"
"Vitvi14g03003","Rpv12","EEE","EEE","Group_V"
"Vitvi14g03011","Rpv12","EEE","EEE","Group_V"
"Vitvi14g03012","Rpv12","EEU","LR","Group_VI"
"Vitvi14g03013","Rpv12","UUE","IEV","Group_IV"
"Vitvi14g03015","Rpv12","EEU","LR","Group_VI"
"Vitvi14g03020","Rpv12","EEE","EEE","Group_V"
"Vitvi14g03025","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g03030","Rpv12","UEE","IEV","Group_V"
"Vitvi14g03031","Rpv12","UEE","IEV","Group_II"
"Vitvi14g03032","Rpv12","UEE","IEV","Group_II"
"Vitvi14g03033","Rpv12","UEE","IEV","Group_V"
"Vitvi14g03036","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g03037","Rpv12","UED","CP","Group_V"
"Vitvi14g03041","Rpv12","EED","LR","Group_VI"
"Vitvi14g03042","Rpv12","UUD","CP","Group_VI"
"Vitvi14g03043","Rpv12","EED","LR","Group_I"
"Vitvi14g03044","Rpv12","EED","LR","Group_VI"
"Vitvi14g03045","Rpv12","EED","LR","Group_V"
"Vitvi14g03047","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g03050","Rpv12","UEE","IEV","Group_V"
"Vitvi14g03051","Rpv12","DEE","IEV","Group_V"
"Vitvi14g03052","Rpv12","EED","LR","Group_V"
"Vitvi14g03055","Rpv12","UED","CP","Group_V"
"Vitvi14g03056","Rpv12","UUD","CP","Group_III"
"Vitvi14g03057","Rpv12","UUE","IEV","Group_II"
"Vitvi14g03060","Rpv12","EEE","EEE","Group_V"
"Vitvi14g03061","Rpv12","EED","LR","Group_V"
"Vitvi14g03069","Rpv12","EED","LR","Group_VI"
"Vitvi14g03072","Rpv12","UED","CP","Group_III"
"Vitvi14g03074","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g03075","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g03076","Rpv12","EUD","CP","Group_V"
"Vitvi14g03078","Rpv12","EEE","EEE","Group_V"
"Vitvi14g03084","Rpv12","EDE","TRS","Group_V"
"Vitvi14g03089","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g03091","Rpv12","EUE","TRS","Group_IV"
"Vitvi14g03092","Rpv12","DUE","CP","Group_V"
"Vitvi14g03121","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04000","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04012","Rpv12","UED","CP","Group_VI"
"Vitvi14g04026","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04029","Rpv12","DDD","SCh","Group_VI"
"Vitvi14g04030","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04042","Rpv12","UEE","IEV","Group_IV"
"Vitvi14g04043","Rpv12","UEE","IEV","Group_I"
"Vitvi14g04045","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04048","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04055","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04088","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04108","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04112","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04114","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04143","Rpv12","EEU","LR","Group_V"
"Vitvi14g04148","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g04151","Rpv12","UEU","CP","Group_V"
"Vitvi14g04153","Rpv12","DED","CP","Group_III"
"Vitvi14g04154","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04155","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04165","Rpv12","DEE","IEV","Group_II"
"Vitvi14g04166","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04174","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04206","Rpv12","UEU","CP","Group_V"
"Vitvi14g04211","Rpv12","UUU","SCh","Group_VI"
"Vitvi14g04239","Rpv12","UEU","CP","Group_VI"
"Vitvi14g04241","Rpv12","UEU","CP","Group_VI"
"Vitvi14g04244","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04248","Rpv12","UUU","SCh","Group_I"
"Vitvi14g04252","Rpv12","UEE","IEV","Group_I"
"Vitvi14g04253","Rpv12","UEE","IEV","Group_VI"
"Vitvi14g04255","Rpv12","UUU","SCh","Group_I"
"Vitvi14g04262","Rpv12","EED","LR","Group_VI"
"Vitvi14g04271","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04277","Rpv12","EED","LR","Group_I"
"Vitvi14g04285","Rpv12","EEE","EEE","Group_III"
"Vitvi14g04291","Rpv12","EUE","TRS","Group_VI"
"Vitvi14g04296","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04301","Rpv12","EEE","EEE","Group_VI"
"Vitvi14g04315","Rpv12","EED","LR","Group_V"
"Vitvi14g04321","Rpv12","EUU","ER","Group_VI"
"Vitvi14g04346","Rpv12","EEE","EEE","Group_III"
"Vitvi14g04360","Rpv12","EUE","TRS","Group_I"
"Vitvi14g04397","Rpv12","EDE","TRS","Group_V"
"Vitvi14g04399","Rpv12","EED","LR","Group_IV"
"Vitvi14g04414","Rpv12","EEE","EEE","Group_V"
"Vitvi14g04415","Rpv12","UUE","IEV","Group_VI"
