	Cult1_0h	Cult1_6h	Cult1_24h	Cult2_0h	Cult2_6h	Cult2_24h	Cult3_0h	Cult3_6h	Cult3_24h
Vitvi01g01265	0	0	0	0	0	0	0	-1	0
Vitvi01g01282	0	-1	0	0	0	0	0	0	0
Vitvi01g01284	0	0	0	0	1	0	0	0	0
Vitvi01g01301	0	0	0	0	0	0	0	-1	0
Vitvi01g01313	1	0	0	0	0	0	0	0	0
Vitvi01g01355	0	0	0	0	-1	0	0	0	0
Vitvi01g01376	0	-1	0	0	-1	0	0	0	0
Vitvi01g01434	0	-1	0	0	0	0	0	-1	0
Vitvi01g01476	0	0	0	0	0	0	1	0	0
Vitvi01g01507	0	0	0	0	-1	0	0	0	0
Vitvi01g01538	0	0	0	0	1	0	0	0	0
Vitvi01g01557	0	-1	0	0	-1	0	0	0	0
Vitvi01g01561	0	0	0	0	-1	0	-1	-1	0
Vitvi01g01578	0	-1	0	0	-1	0	-1	-1	0
Vitvi01g01591	0	0	0	0	0	0	0	-1	0
Vitvi01g01611	0	0	-1	0	0	0	-1	0	-1
Vitvi01g01640	0	0	0	0	-1	0	0	-1	0
Vitvi01g01641	0	0	0	0	-1	0	0	0	0
Vitvi01g01644	0	0	0	0	0	0	0	-1	0
Vitvi01g01657	0	-1	0	0	0	0	0	0	0
Vitvi01g01680	0	0	0	0	1	0	0	1	0
Vitvi01g01684	0	0	0	0	0	0	0	-1	0
Vitvi01g01701	-1	-1	-1	1	0	0	0	-1	0
Vitvi01g01714	0	0	0	0	0	0	0	-1	0
Vitvi01g01727	0	-1	0	0	0	0	0	0	0
Vitvi01g01728	0	0	0	0	1	0	0	0	0
Vitvi01g01751	0	-1	-1	0	-1	0	0	-1	-1
Vitvi01g01752	0	0	-1	0	0	0	0	0	-1
Vitvi01g01753	0	-1	0	0	0	0	0	0	0
Vitvi01g01761	0	-1	0	0	0	0	0	-1	0
Vitvi01g01782	0	-1	0	0	0	0	0	0	0
Vitvi01g01791	0	-1	0	0	0	0	0	-1	0
Vitvi01g01799	0	0	0	0	-1	0	0	0	0
Vitvi01g01806	0	0	0	0	0	0	0	-1	0
Vitvi01g01826	0	0	0	0	1	0	0	1	0
Vitvi01g01835	0	0	0	0	0	0	0	-1	0
Vitvi01g01844	0	0	0	0	1	0	0	0	0
Vitvi01g01852	0	0	-1	0	0	0	0	0	-1
Vitvi01g01902	0	0	-1	0	0	0	0	0	0
Vitvi01g01907	0	0	0	0	-1	0	0	0	0
Vitvi01g01932	0	0	-1	0	0	0	0	0	0
Vitvi01g01935	0	0	0	0	0	0	0	-1	0
Vitvi01g01958	0	0	0	0	1	0	0	1	0
Vitvi01g01982	1	0	0	0	0	0	0	0	0
Vitvi01g01990	0	0	0	0	-1	0	0	0	0
Vitvi01g01998	0	0	-1	0	0	0	0	-1	0
Vitvi01g02001	0	0	0	0	1	0	0	0	0
Vitvi01g02003	1	1	0	0	0	0	0	0	0
Vitvi01g02013	0	0	0	0	-1	0	0	0	0
Vitvi01g02020	0	0	0	0	-1	0	0	0	0
Vitvi01g02030	0	0	0	0	0	0	0	-1	0
Vitvi01g02047	0	0	1	0	1	1	0	0	1
Vitvi01g02051	0	0	0	0	0	0	0	0	-1
Vitvi01g02061	0	0	0	0	1	0	0	0	0
Vitvi01g02072	0	0	0	0	1	0	0	1	0
Vitvi01g02097	0	0	0	0	-1	0	0	0	0
Vitvi01g02099	0	0	0	1	0	0	0	0	0
Vitvi01g02201	0	0	1	0	0	0	0	1	0
Vitvi01g02242	0	-1	-1	0	-1	0	-1	-1	-1
Vitvi01g02254	1	0	0	0	-1	0	0	0	0
Vitvi01g02263	0	0	1	0	0	0	0	-1	0
Vitvi01g02274	0	-1	0	0	0	0	0	0	0
Vitvi01g02299	0	0	0	0	-1	0	0	0	0
Vitvi01g04002	0	1	0	0	0	0	1	1	0
Vitvi01g04052	0	-1	-1	0	0	0	0	-1	0
Vitvi01g04056	1	0	0	0	0	0	-1	-1	0
Vitvi01g04080	1	0	0	0	0	0	0	0	0
Vitvi01g04082	0	0	0	0	0	0	-1	-1	0
Vitvi01g04096	1	0	0	0	0	0	0	0	0
Vitvi01g04109	-1	0	0	0	1	0	0	0	0
Vitvi01g04115	0	-1	0	0	0	0	-1	-1	0
Vitvi01g04132	0	0	1	1	1	0	0	0	0
Vitvi01g04159	0	0	0	0	0	0	0	0	-1
Vitvi01g04170	0	0	0	0	0	1	0	0	0
Vitvi01g04175	0	0	0	0	-1	0	0	0	0
Vitvi01g04178	0	1	0	0	0	0	0	1	0
Vitvi01g04185	0	0	0	0	0	0	0	-1	0
Vitvi01g04190	0	0	1	0	0	0	0	1	0
Vitvi01g04191	1	1	1	1	0	0	1	1	0
Vitvi01g04204	0	-1	0	0	0	0	0	-1	0
Vitvi01g04205	0	0	0	0	0	0	0	-1	0
Vitvi01g04206	0	0	1	0	0	0	0	0	1
Vitvi01g04207	0	1	1	0	1	0	1	1	0
Vitvi01g04261	0	0	0	0	0	0	1	1	0
Vitvi01g04267	0	-1	0	0	0	0	0	-1	0
Vitvi01g04283	0	0	-1	0	0	0	0	0	0
Vitvi01g04325	1	0	0	0	0	0	0	0	0
Vitvi01g04343	0	-1	0	0	0	0	0	0	0
Vitvi01g04364	0	0	1	0	0	0	0	0	0
Vitvi01g04413	1	0	0	0	0	0	0	0	0
Vitvi01g04414	1	0	0	0	0	0	0	0	0
Vitvi01g04416	1	0	0	0	0	0	0	0	0
Vitvi01g04419	1	0	0	0	0	0	0	0	0
Vitvi01g04423	0	0	0	0	-1	0	0	0	0
Vitvi01g04428	0	0	0	0	-1	0	0	0	0
Vitvi01g04468	0	0	0	0	-1	0	0	-1	0
Vitvi02g00014	0	-1	0	0	-1	0	0	-1	0
Vitvi02g00017	0	0	0	0	0	0	0	-1	0
Vitvi02g00020	0	-1	0	0	0	0	0	0	0
Vitvi02g00022	0	0	0	0	0	0	0	-1	0
