"GeneID","Immunity_Class"
"Vitvi01g00368","Other"
"Vitvi01g00369","Other"
"Vitvi01g00370","Other"
"Vitvi01g01962","Other"
"Vitvi01g00371","Other"
"Vitvi01g00372","Other"
"Vitvi01g00373","Other"
"Vitvi01g00374","Other"
"Vitvi01g00375","Other"
"Vitvi01g00376","Other"
"Vitvi01g00377","Other"
"Vitvi01g00379","Other"
"Vitvi01g00380","Other"
"Vitvi01g01965","Other"
"Vitvi01g00381","Other"
"Vitvi01g00382","Other"
"Vitvi01g00383","Other"
"Vitvi01g00384","Other"
"Vitvi01g00385","Other"
"Vitvi01g00386","Other"
"Vitvi01g00388","Other"
"Vitvi01g00389","Other"
"Vitvi01g00390","Other"
"Vitvi01g00391","Other"
"Vitvi01g04104","Other"
"Vitvi01g00392","Other"
"Vitvi01g01968","Other"
"Vitvi01g00393","Other"
"Vitvi01g00394","Other"
"Vitvi01g00397","Other"
"Vitvi01g04106","Other"
"Vitvi01g04107","Other"
"Vitvi01g00401","Other"
"Vitvi01g00402","Other"
"Vitvi01g00403","Other"
"Vitvi01g00404","Other"
"Vitvi01g00405","Other"
"Vitvi01g04109","Other"
"Vitvi01g00407","Other"
"Vitvi01g00408","Other"
"Vitvi01g01971","Other"
"Vitvi01g01972","Other"
"Vitvi01g00409","Other"
"Vitvi01g04110","Other"
"Vitvi01g00411","Other"
"Vitvi01g00412","Other"
"Vitvi01g00413","Other"
"Vitvi01g04111","Other"
"Vitvi01g00414","Other"
"Vitvi01g00415","Other"
"Vitvi01g01973","Other"
"Vitvi01g04112","Other"
"Vitvi01g00417","Other"
"Vitvi01g01974","Other"
"Vitvi01g00418","Other"
"Vitvi01g00421","Other"
"Vitvi01g00422","Other"
"Vitvi01g00423","Other"
"Vitvi01g00424","Other"
"Vitvi01g00425","Other"
"Vitvi01g00426","Other"
"Vitvi01g00427","Other"
"Vitvi01g00428","Other"
"Vitvi01g04113","Other"
"Vitvi01g00430","Other"
"Vitvi01g00432","Other"
"Vitvi01g00434","Other"
"Vitvi01g00437","Other"
"Vitvi01g00438","Other"
"Vitvi01g01979","Other"
"Vitvi01g04115","Other"
"Vitvi01g01981","Other"
"Vitvi01g01982","Other"
"Vitvi01g00441","Other"
"Vitvi01g00442","Other"
"Vitvi01g00443","Other"
"Vitvi01g00444","Other"
"Vitvi01g00445","Other"
"Vitvi01g00446","Other"
"Vitvi01g00447","Other"
"Vitvi01g00448","Other"
"Vitvi01g00449","Other"
"Vitvi01g00450","Other"
"Vitvi01g01984","Other"
"Vitvi01g01985","Other"
"Vitvi01g00451","Other"
"Vitvi01g00452","Other"
"Vitvi01g00453","Other"
"Vitvi01g00454","Other"
"Vitvi01g00455","Other"
"Vitvi01g00456","Other"
"Vitvi01g00457","Other"
"Vitvi01g01986","Other"
"Vitvi01g00458","Other"
"Vitvi01g01987","Other"
"Vitvi01g00460","Other"
"Vitvi01g01988","Other"
"Vitvi01g01990","Other"
"Vitvi01g00463","Other"
"Vitvi01g00464","Other"
"Vitvi01g00465","Other"
"Vitvi01g00466","Other"
"Vitvi01g00467","Other"
"Vitvi01g00468","Other"
"Vitvi01g04118","Other"
"Vitvi01g00473","Other"
"Vitvi01g00474","Other"
"Vitvi01g00475","Other"
"Vitvi01g04120","Other"
"Vitvi01g00476","Other"
"Vitvi01g00477","Other"
"Vitvi01g00478","Other"
"Vitvi01g00479","Other"
"Vitvi01g00481","Other"
"Vitvi01g00482","Other"
"Vitvi01g00483","Other"
"Vitvi01g01993","Other"
"Vitvi01g00484","Other"
"Vitvi01g00486","Other"
"Vitvi01g00487","Other"
"Vitvi01g00488","Other"
"Vitvi01g00491","Other"
"Vitvi01g00492","Other"
"Vitvi01g04121","Other"
"Vitvi01g00497","Other"
"Vitvi01g00498","Other"
"Vitvi01g00499","Other"
"Vitvi01g00500","Other"
"Vitvi01g01995","Other"
"Vitvi01g00501","Other"
"Vitvi01g00502","Other"
"Vitvi01g00503","Other"
"Vitvi01g00505","Other"
"Vitvi01g01997","Other"
"Vitvi01g01998","Other"
"Vitvi01g02001","Other"
"Vitvi01g00508","Other"
"Vitvi01g00509","Other"
"Vitvi01g00511","Other"
"Vitvi01g00512","Other"
"Vitvi01g00513","Other"
"Vitvi01g04125","Other"
"Vitvi01g00516","Other"
"Vitvi01g00517","Other"
"Vitvi01g00518","Other"
"Vitvi01g00519","Other"
"Vitvi01g00520","Other"
"Vitvi01g00521","Other"
"Vitvi01g04126","Other"
"Vitvi01g00522","Other"
"Vitvi01g00523","Other"
"Vitvi01g00524","Other"
"Vitvi01g00525","Other"
"Vitvi01g00526","Other"
"Vitvi01g02003","Other"
"Vitvi01g00528","Other"
"Vitvi01g04127","Other"
"Vitvi01g00529","Other"
"Vitvi01g00530","Other"
"Vitvi01g00532","Other"
"Vitvi01g00533","Other"
"Vitvi01g00536","Other"
"Vitvi01g00537","Other"
"Vitvi01g00538","Other"
"Vitvi01g00539","Other"
"Vitvi01g00540","Other"
"Vitvi01g00541","Other"
"Vitvi01g00542","Other"
"Vitvi01g00543","Other"
"Vitvi01g00544","Other"
"Vitvi01g02006","Other"
"Vitvi01g00545","Other"
"Vitvi01g00546","Other"
"Vitvi01g00547","Other"
"Vitvi01g00550","Other"
"Vitvi01g00552","Other"
"Vitvi01g00553","Other"
"Vitvi01g00554","Other"
"Vitvi01g00555","Other"
"Vitvi01g00556","Other"
"Vitvi01g00557","Other"
"Vitvi01g02011","Other"
"Vitvi01g00558","Other"
"Vitvi01g00561","Other"
"Vitvi01g00562","Other"
"Vitvi01g00563","Other"
"Vitvi01g04131","Other"
"Vitvi01g00566","Other"
"Vitvi01g00567","Other"
"Vitvi01g02012","Other"
"Vitvi01g00568","Other"
"Vitvi01g02013","Other"
"Vitvi01g00571","Other"
"Vitvi01g00572","Other"
"Vitvi01g00573","Other"
"Vitvi01g00574","Other"
"Vitvi01g04132","Other"
"Vitvi01g04133","Other"
"Vitvi01g00577","Other"
"Vitvi01g00578","Other"
"Vitvi01g00579","Other"
"Vitvi01g04135","Other"
"Vitvi01g04136","Other"
"Vitvi01g02020","Other"
"Vitvi01g00587","Other"
"Vitvi01g02021","Other"
"Vitvi01g00588","Other"
"Vitvi01g00589","Other"
"Vitvi01g00590","Other"
"Vitvi01g00591","Other"
"Vitvi01g04139","Other"
"Vitvi01g00593","Other"
"Vitvi01g00594","Other"
"Vitvi01g00595","Other"
"Vitvi01g00596","Other"
"Vitvi01g04140","Other"
"Vitvi01g00598","Other"
"Vitvi01g00599","Other"
"Vitvi01g00600","Other"
"Vitvi01g04141","Other"
"Vitvi01g00603","Other"
"Vitvi01g00604","Other"
"Vitvi01g00605","Other"
"Vitvi01g00608","Other"
"Vitvi01g02022","Other"
"Vitvi01g00609","Other"
"Vitvi01g00610","Other"
"Vitvi01g00611","Other"
"Vitvi01g00612","Other"
"Vitvi01g02023","Other"
"Vitvi01g02024","Other"
"Vitvi01g00613","Other"
"Vitvi01g00614","Other"
"Vitvi01g04144","Other"
"Vitvi01g04145","Other"
"Vitvi01g04146","Other"
"Vitvi01g00616","Other"
"Vitvi01g00617","Other"
"Vitvi01g00619","Other"
"Vitvi01g02026","Other"
"Vitvi01g00620","Other"
"Vitvi01g00621","Other"
"Vitvi01g00623","Other"
"Vitvi01g04149","Other"
