"method","combat","module","n_genes","pve_pc1"
"hub_anchored","protected","Vitvi18g00191",41,0.894082404409418
"hub_anchored","protected","Vitvi18g00462",70,0.813960329910884
"hub_anchored","protected","Vitvi18g00473",127,0.84789259316909
"hub_anchored","protected","Vitvi18g02825",11,0.867327435567159
"hub_anchored","protected","Vitvi19g00270",670,0.811699250562632
"hub_anchored","protected","Vitvi19g00476",65,0.838099486574862
"hub_anchored","protected","Vitvi19g00709",68,0.837143059503283
"hub_anchored","protected","Vitvi19g01484",505,0.804716986524385
"hub_anchored","protected","Vitvi19g01610",103,0.799652916506652
"hub_anchored","protected","Vitvi19g01612",72,0.848824336255803
"hub_anchored","protected","Vitvi19g01720",98,0.809473259225793
"hub_anchored","protected","Vitvi19g01790",78,0.789891762544989
"hub_anchored","protected","Vitvi19g04259",123,0.860517476486596
"hub_anchored","protected","Vitvi19g04530",90,0.828015736733366
"hub_anchored","protected","Vitvi19g04572",90,0.809828544141416
"WGCNA_power8","unprotected","salmon",387,0.575353807665884
"WGCNA_power8","unprotected","brown",1288,0.4453964742414
"WGCNA_power8","unprotected","magenta",496,0.686551653119672
"WGCNA_power8","unprotected","turquoise",6249,0.699450836689682
"WGCNA_power8","unprotected","greenyellow",407,0.492983122948747
"WGCNA_power8","unprotected","royalblue",264,0.563547510940393
"WGCNA_power8","unprotected","tan",404,0.648868040804336
"WGCNA_power8","unprotected","black",768,0.623047329533725
"WGCNA_power8","unprotected","red",807,0.574069614948422
"WGCNA_power8","unprotected","floralwhite",77,0.443194378240685
"WGCNA_power8","unprotected","blue",4275,0.587771615903749
"WGCNA_power8","unprotected","yellow",1105,0.567826121508827
"WGCNA_power8","unprotected","pink",701,0.646591314912894
"WGCNA_power8","unprotected","skyblue3",109,0.494913887578469
"WGCNA_power8","unprotected","steelblue",147,0.461668748663072
"WGCNA_power8","unprotected","green",854,0.680544417778988
"WGCNA_power8","unprotected","yellowgreen",121,0.441743175371422
"WGCNA_power8","unprotected","darkorange",191,0.750130093563291
"WGCNA_power8","unprotected","darkgrey",203,0.719579996417821
"WGCNA_power8","unprotected","lightcyan",300,0.435742529194529
"WGCNA_power8","unprotected","grey60",272,0.810809136069561
"WGCNA_power8","unprotected","skyblue",176,0.585314177921529
"WGCNA_power8","unprotected","paleturquoise",139,0.68813649276162
"WGCNA_power8","unprotected","mediumpurple3",103,0.611953302334914
"WGCNA_power8","unprotected","darkgreen",224,0.428332364211986
"WGCNA_power8","unprotected","purple",474,0.714532885141088
"WGCNA_power8","unprotected","cyan",379,0.492279575398797
"WGCNA_power8","unprotected","darkmagenta",132,0.503374834046016
"WGCNA_power8","unprotected","white",190,0.739176380606128
"WGCNA_power8","unprotected","thistle2",67,0.612823325558857
"WGCNA_power8","unprotected","sienna3",127,0.528618173339736
"WGCNA_power8","unprotected","lightyellow",267,0.462280128489337
"WGCNA_power8","unprotected","maroon",51,0.595138270991381
"WGCNA_power8","unprotected","midnightblue",343,0.644843260171
"WGCNA_power8","unprotected","navajowhite2",54,0.469876398524324
"WGCNA_power8","unprotected","saddlebrown",165,0.540747719733157
"WGCNA_power8","unprotected","lightgreen",270,0.76161090086658
"WGCNA_power8","unprotected","lightcyan1",97,0.479775080191119
"WGCNA_power8","unprotected","thistle1",65,0.599013825461812
"WGCNA_power8","unprotected","bisque4",73,0.617702295879546
"WGCNA_power8","unprotected","honeydew1",44,0.882952119287504
"WGCNA_power8","unprotected","orange",201,0.704657979508185
"WGCNA_power8","unprotected","brown4",75,0.516983819388212
"WGCNA_power8","unprotected","lightpink4",45,0.498686713460799
"WGCNA_power8","unprotected","plum1",109,0.523525469004058
"WGCNA_power8","unprotected","darkred",246,0.601332150345995
"WGCNA_power8","unprotected","ivory",78,0.662539857307901
"WGCNA_power8","unprotected","darkslateblue",70,0.562852689380484
"WGCNA_power8","unprotected","violet",133,0.658084563250638
"WGCNA_power8","unprotected","salmon4",63,0.596228382082968
"WGCNA_power8","unprotected","plum2",68,0.605163931979475
"WGCNA_power8","unprotected","darkturquoise",207,0.670236592318202
"WGCNA_power8","unprotected","lightsteelblue1",98,0.593971717172877
"WGCNA_power8","unprotected","orangered4",105,0.84836757315581
"WGCNA_power8","unprotected","palevioletred3",56,0.514215726234356
"WGCNA_power8","unprotected","darkolivegreen",133,0.471594088489411
"WGCNA_power8","unprotected","coral1",38,0.614857928442638
"WGCNA_power8","unprotected","darkseagreen4",41,0.586576361784103
"WGCNA_power8","unprotected","lavenderblush3",45,0.669436378564714
"WGCNA_power8","unprotected","darkorange2",76,0.663911832308514
"WGCNA_power8","protected","paleturquoise",136,0.772310317597411
"WGCNA_power8","protected","red",892,0.510837529580044
"WGCNA_power8","protected","tan",533,0.723258159189003
"WGCNA_power8","protected","turquoise",5499,0.696051264405829
"WGCNA_power8","protected","lightgreen",363,0.429734936718056
"WGCNA_power8","protected","magenta",672,0.447606150488799
"WGCNA_power8","protected","green",943,0.566225009844068
"WGCNA_power8","protected","grey60",364,0.842243003672866
"WGCNA_power8","protected","greenyellow",545,0.498279066543847
"WGCNA_power8","protected","brown",1651,0.555843073017485
"WGCNA_power8","protected","thistle1",41,0.64593604958961
"WGCNA_power8","protected","yellow",1334,0.530687167468097
"WGCNA_power8","protected","blue",3896,0.605062572261186
"WGCNA_power8","protected","darkorange",165,0.587396194525033
"WGCNA_power8","protected","salmon4",40,0.736372156815237
"WGCNA_power8","protected","skyblue",148,0.516258023138375
"WGCNA_power8","protected","darkgreen",259,0.427324474781881
"WGCNA_power8","protected","darkmagenta",116,0.541183267812317
"WGCNA_power8","protected","salmon",390,0.688019780736109
"WGCNA_power8","protected","orange",188,0.625430478067088
"WGCNA_power8","protected","darkolivegreen",131,0.573684526937698
"WGCNA_power8","protected","bisque4",53,0.568610395377378
"WGCNA_power8","protected","brown4",54,0.546692754975905
"WGCNA_power8","protected","black",848,0.70919331910674
"WGCNA_power8","protected","pink",771,0.590085391934127
"WGCNA_power8","protected","royalblue",295,0.555925915282315
"WGCNA_power8","protected","sienna3",111,0.498448696427033
"WGCNA_power8","protected","plum1",95,0.601806837266926
"WGCNA_power8","protected","darkturquoise",253,0.435812645487691
"WGCNA_power8","protected","purple",661,0.620757281615784
"WGCNA_power8","protected","lightsteelblue1",79,0.546607450007335
"WGCNA_power8","protected","lightyellow",320,0.554583499993091
"WGCNA_power8","protected","ivory",68,0.469278865568491
"WGCNA_power8","protected","midnightblue",375,0.720057068792439
"WGCNA_power8","protected","orangered4",93,0.538905098787415
"WGCNA_power8","protected","lightcyan",364,0.664125085358361
"WGCNA_power8","protected","darkred",292,0.717045742856752
"WGCNA_power8","protected","violet",133,0.508174788861697
"WGCNA_power8","protected","cyan",384,0.725352234011489
"WGCNA_power8","protected","yellowgreen",108,0.532481935328032
"WGCNA_power8","protected","skyblue3",104,0.60672608797171
"WGCNA_power8","protected","lightcyan1",75,0.544912427123084
"WGCNA_power8","protected","saddlebrown",145,0.805960768836289
"WGCNA_power8","protected","thistle2",47,0.761502882682992
"WGCNA_power8","protected","darkorange2",58,0.648728909660925
"WGCNA_power8","protected","darkslateblue",49,0.787477566440465
"WGCNA_power8","protected","darkgrey",221,0.61511700040349
"WGCNA_power8","protected","steelblue",136,0.689929897341628
"WGCNA_power8","protected","mediumpurple3",91,0.517733483456333
"WGCNA_power8","protected","white",165,0.777325981982186
"WGCNA_power8","protected","plum2",49,0.560106692261479
"WGCNA_power8","protected","floralwhite",67,0.577035371991123
"WGCNA_power8","protected","palevioletred3",30,0.608049213439574
