"method","combat","module","size","bin_size_used","n_mapped_genes","physical_ppi_n_covered","physical_ppi_mean_score","physical_ppi_null_mean_of_means","physical_ppi_p_enrichment","detailed_coexpr_n_covered","detailed_coexpr_mean_score","detailed_coexpr_null_mean_of_means","detailed_coexpr_p_enrichment","detailed_combined_n_covered","detailed_combined_mean_score","detailed_combined_null_mean_of_means","detailed_combined_p_enrichment"
"hub_anchored","unprotected","Vitvi11g00286",215,203,146,2,175,350.127770229196,1,140,66.3857142857143,84.2859398615658,0.850746268656716,140,260.3,289.294846688071,0.955223880597015
"hub_anchored","unprotected","Vitvi11g01637",37,32,14,0,NA,359.213003663004,NA,0,NA,81.6212033011656,NA,0,NA,284.404831147356,NA
"hub_anchored","unprotected","Vitvi12g00368",52,54,25,0,NA,338.656672932331,NA,0,NA,83.1117834073636,NA,0,NA,289.087957385556,NA
"hub_anchored","unprotected","Vitvi12g01776",113,120,49,4,250,347.876205335917,0.92,22,112.272727272727,83.9709386086409,0.129353233830846,22,341.545454545455,286.379146520562,0.0348258706467662
"hub_anchored","unprotected","Vitvi12g01881",151,156,130,26,466.076923076923,341.294104189601,0.0149253731343284,324,68.3888888888889,82.6083119625857,0.701492537313433,324,301.222222222222,284.317467360485,0.199004975124378
"hub_anchored","unprotected","Vitvi12g01882",55,54,52,2,183,338.656672932331,0.941176470588235,56,46.7142857142857,83.1117834073636,0.81592039800995,56,239.642857142857,289.087957385556,0.865671641791045
"hub_anchored","unprotected","Vitvi12g01921",64,71,19,0,NA,357.577000616919,NA,6,0,82.4974689396933,1,6,213.333333333333,286.508573033137,0.985074626865672
"hub_anchored","unprotected","Vitvi12g02011",59,54,24,0,NA,338.656672932331,NA,2,75,83.1117834073636,0.537313432835821,2,176,289.087957385556,1
"hub_anchored","unprotected","Vitvi12g02633",83,92,34,0,NA,330.185634296459,NA,8,18.75,86.0477364795512,1,8,166.5,286.903427936747,1
"hub_anchored","unprotected","Vitvi12g04108",101,92,43,0,NA,330.185634296459,NA,22,41.5454545454545,86.0477364795512,0.960199004975124,22,216.636363636364,286.903427936747,0.985074626865672
"hub_anchored","unprotected","Vitvi12g04404",102,92,43,2,293,330.185634296459,0.611111111111111,12,60.5,86.0477364795512,0.776119402985075,12,251.333333333333,286.903427936747,0.855721393034826
"hub_anchored","unprotected","Vitvi12g04463",69,71,28,0,NA,357.577000616919,NA,4,61.5,82.4974689396933,0.701492537313433,4,327,286.508573033137,0.139303482587065
"hub_anchored","unprotected","Vitvi12g04498",61,54,21,0,NA,338.656672932331,NA,0,NA,83.1117834073636,NA,0,NA,289.087957385556,NA
"hub_anchored","unprotected","Vitvi12g04515",33,32,10,0,NA,359.213003663004,NA,0,NA,81.6212033011656,NA,0,NA,284.404831147356,NA
"hub_anchored","unprotected","Vitvi12g04518",19,19,8,0,NA,307.826086956522,NA,0,NA,77.4408630328442,NA,0,NA,277.562136867326,NA
