"gene","module_size","spearman_rho","pvalue","padj_bonferroni","padj_BH","selected_bonferroni"
"Vitvi08g02275",57,-0.750289519408583,1.37448227308175e-07,0.000927088293193644,7.28270458125407e-07,TRUE
"Vitvi08g02288",53,0.825286999230347,5.93028746429864e-10,3.99997889466944e-06,1.20481292008116e-08,TRUE
"Vitvi08g02289",12,0.478136307567548,0.00318339348719661,1,0.00459884109469718,FALSE
"Vitvi08g02304",1068,-0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi08g02307",100,-0.295078781127154,0.0806150363631191,1,0.0865152617771262,FALSE
"Vitvi08g02324",29,-0.478136307567548,0.00318339348719661,1,0.00459884109469718,FALSE
"Vitvi08g02326",3,0.517040837198792,0.00124270586470563,1,0.0021055139556492,FALSE
"Vitvi08g02330",986,-0.624221522900733,4.73386834040076e-05,0.319299419560031,0.00011657518056226,FALSE
"Vitvi08g02331",548,-0.819235825519126,1.00667411024502e-09,6.79001687360264e-06,1.7590717289126e-08,TRUE
"Vitvi08g02333",192,-0.57399680266734,0.000251925466762095,1,0.000503626933405551,FALSE
"Vitvi08g02336",132,-0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi08g02355",179,-0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi08g02357",157,-0.631396482934074,3.63959573998368e-05,0.245490732661899,9.35559194595666e-05,FALSE
"Vitvi08g02359",31,-0.285404066991838,0.0915479263669638,1,0.0976269981573394,FALSE
"Vitvi08g02360",5,-0.581171762700682,0.000201731083518182,1,0.000415600537058687,FALSE
"Vitvi08g02366",66,-0.39182592248032,0.0181099832764267,1,0.0214564969610922,FALSE
"Vitvi08g02368",1282,-0.324102923533104,0.0538052002373616,1,0.0589340817799617,FALSE
"Vitvi08g02382",22,-0.657661183679129,1.31078878160574e-05,0.0884127033193073,3.89311771551331e-05,FALSE
"Vitvi08g02383",33,0.909841012381102,1.5264132246345e-14,1.02956572001597e-10,2.05797836681708e-11,TRUE
"Vitvi08g02386",269,-0.333777637668421,0.0466511603903606,1,0.0515585903380276,FALSE
"Vitvi08g02387",66,0.888660953186472,4.66378786078871e-13,3.14572491210199e-09,1.94205140248617e-10,TRUE
"Vitvi08g02393",445,0.730522413297267,4.23910094602195e-07,0.0028592735880918,1.84231545624472e-06,TRUE
"Vitvi08g02397",37,0.675258116978206,6.24692427389044e-06,0.042135504227391,1.97726439358944e-05,TRUE
"Vitvi08g02398",379,-0.737939074644656,2.81075640112032e-07,0.00189585519255565,1.31382896227003e-06,TRUE
"Vitvi08g02401",46,-0.587429324889283,0.000165484669916145,1,0.000349247214826158,FALSE
"Vitvi08g02406",74,0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi08g02412",51,-0.550833644050274,0.000499011088934105,1,0.000924932617439005,FALSE
"Vitvi08g04001",19,0.816811769737353,1.23759826433005e-09,8.34760029290621e-06,1.90150348357777e-08,TRUE
"Vitvi08g04002",184,-0.783394258152665,1.61926462779259e-08,0.00010921939914461,1.50647447096014e-07,TRUE
"Vitvi08g04030",723,-0.563283869189166,0.00034775734695725,1,0.000670944881357738,FALSE
"Vitvi08g04035",82,-0.266054638721205,0.116785634586865,1,0.123312320802819,FALSE
"Vitvi08g04038",17,-0.497354649482286,0.00202787799894178,1,0.00331588778251207,FALSE
"Vitvi08g04055",1110,-0.689897685138033,3.24336512260011e-06,0.0218764977519378,1.10098126582475e-05,TRUE
"Vitvi08g04075",38,0.670011628443056,7.8317607041287e-06,0.0528252259493481,2.42875942578112e-05,FALSE
"Vitvi08g04091",3,-0.440199493156902,0.00721598030084795,1,0.00939972713967158,FALSE
"Vitvi08g04102",73,-0.556734056756734,0.000421261179223091,1,0.00079502144763843,FALSE
"Vitvi08g04114",120,0.464520909948816,0.00431550212355726,1,0.00602028165944027,FALSE
"Vitvi08g04118",15,-0.864575241081045,1.07384470568185e-11,7.24308253982405e-08,7.46709540188046e-10,TRUE
"Vitvi08g04123",301,0.771433338085278,3.65240298083622e-08,0.000246354581057403,3.08715013856402e-07,TRUE
"Vitvi08g04124",50,-0.563283869189166,0.00034775734695725,1,0.000670944881357738,FALSE
"Vitvi08g04129",15,0.74411429702662,1.97545236237612e-07,0.00133244261842269,9.84078743295934e-07,TRUE
"Vitvi08g04140",1496,-0.353127065939054,0.0346365270501543,1,0.0389957227429963,FALSE
"Vitvi08g04165",343,-0.541347309703832,0.000650969220632226,1,0.00117369350258336,FALSE
"Vitvi08g04167",70,-0.39182592248032,0.0181099832764267,1,0.0214564969610922,FALSE
"Vitvi08g04186",11,-0.718962110897728,7.83745265504766e-07,0.00528636181582965,3.15415382806066e-06,TRUE
"Vitvi08g04190",11,0.475228856281335,0.00340060663039713,1,0.00490108797479244,FALSE
"Vitvi08g04210",19,-0.750289519408583,1.37448227308175e-07,0.000927088293193644,7.28270458125407e-07,TRUE
"Vitvi08g04212",7,0.382151208345003,0.0214447164072558,1,0.0250727356850304,FALSE
"Vitvi08g04218",1104,-0.86763182021618,7.46559779388145e-12,5.03554571197304e-08,6.37433557086811e-10,TRUE
"Vitvi08g04221",1467,-0.627689615968158,4.17243642756342e-05,0.281430837039153,0.000106120225127886,FALSE
"Vitvi08g04226",10,0.719413407498765,7.65599059629689e-07,0.00516396565720226,3.08480624683528e-06,TRUE
"Vitvi08g04234",19,-0.351573041633746,0.0354971658889758,1,0.0399113825506155,FALSE
"Vitvi08g04243",5,-0.0586646126286547,0.73396322289731,1,0.737571802509291,FALSE
"Vitvi08g04260",36,-0.750289519408583,1.37448227308175e-07,0.000927088293193644,7.28270458125407e-07,TRUE
"Vitvi08g04264",151,-0.602582743783759,0.000100689603007756,0.679151372287312,0.000225781706212537,FALSE
"Vitvi08g04277",109,0.765761034128769,5.28218853687821e-08,0.000356283616812436,4.14283275363297e-07,TRUE
"Vitvi08g04278",438,-0.609871602834049,7.8569440725387e-05,0.529950877692735,0.000183120552070745,FALSE
"Vitvi08g04284",75,0.750289519408583,1.37448227308174e-07,0.000927088293193632,7.28270458125407e-07,TRUE
"Vitvi08g04286",431,-0.295078781127154,0.0806150363631191,1,0.0865152617771262,FALSE
"Vitvi08g04287",65,0.707800676832578,1.37960969568661e-06,0.00930546739740622,5.16970410967017e-06,TRUE
"Vitvi08g04290",14,0.729495716735492,4.48250799599695e-07,0.00302345164329994,1.93315322461634e-06,TRUE
