"gene","module_size","spearman_rho","pvalue","padj_bonferroni","padj_BH","selected_bonferroni"
"Vitvi04g02010",162,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g02017",5,0.217681068044622,0.202185093959943,1,0.208619199457715,FALSE
"Vitvi04g02054",178,-0.53094704246729,0.000863545476365859,1,0.00145252354093,FALSE
"Vitvi04g02062",216,-0.596032931351327,0.000125192354329375,0.88085340506148,0.000252538246863957,FALSE
"Vitvi04g02063",161,-0.372476494209687,0.0252748166470032,1,0.0287152607667228,FALSE
"Vitvi04g02064",25,-0.401500636615636,0.0152203400780548,1,0.017965158998355,FALSE
"Vitvi04g02065",240,-0.430524779021586,0.00876561976487687,1,0.0108621965979086,FALSE
"Vitvi04g02069",100,-0.454322865822607,0.00537760984106566,1,0.00696939820256732,FALSE
"Vitvi04g02070",145,-0.39182592248032,0.0181099832764267,1,0.0210649433514528,FALSE
"Vitvi04g02071",450,-0.596032931351327,0.000125192354329375,0.88085340506148,0.000252538246863957,FALSE
"Vitvi04g02072",52,0.726610643992385,5.23697027742696e-07,0.00368473228719761,2.07707569740564e-06,TRUE
"Vitvi04g02073",19,-0.816811769737353,1.23759826433008e-09,8.70774138782648e-06,1.26935005653447e-08,TRUE
"Vitvi04g02090",5,0.516597122400606,0.00125690591977388,1,0.00205282963127414,FALSE
"Vitvi04g02114",25,0.837939337189154,1.83215111717502e-10,1.28910152604434e-06,3.33101169520502e-09,TRUE
"Vitvi04g02150",633,-0.563283869189166,0.00034775734695725,1,0.000636033452870083,FALSE
"Vitvi04g02157",9,0.324102923533104,0.0538052002373616,1,0.0584218192700735,FALSE
"Vitvi04g02166",1038,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g02184",312,-0.794122553911316,7.46691027916994e-09,5.25371807242397e-05,5.88981846684301e-08,TRUE
"Vitvi04g02190",482,0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g02201",368,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g02205",3,-0.566821842633998,0.000313017471211837,1,0.0005779036807784,FALSE
"Vitvi04g02211",30,-0.546507180803783,0.00056388190945942,1,0.000984728993535984,FALSE
"Vitvi04g02226",31,-0.874344762938948,3.25230629616806e-12,2.28832270998385e-08,1.92296026049063e-10,TRUE
"Vitvi04g02232",816,-0.750289519408583,1.37448227308175e-07,0.000967085727340323,6.46880085177473e-07,TRUE
"Vitvi04g02242",113,-0.617046562867391,6.11763032283906e-05,0.430436469514956,0.000134890777033831,FALSE
"Vitvi04g02243",89,-0.617046562867391,6.11763032283906e-05,0.430436469514956,0.000134890777033831,FALSE
"Vitvi04g02246",4,-0.725588629880729,5.53108756705168e-07,0.00389167321217756,2.16084020665051e-06,TRUE
"Vitvi04g02247",538,-0.589483118918895,0.000154932061894313,1,0.000305265188319346,FALSE
"Vitvi04g02248",607,-0.701470675600752,1.87969052288908e-06,0.0132255025190476,6.39840470200656e-06,TRUE
"Vitvi04g02306",11,-0.571208070331638,0.00027427150802485,1,0.000512420162098472,FALSE
"Vitvi04g04001",42,0.734919476711221,3.32800881439019e-07,0.00234158700180494,1.40130879820762e-06,TRUE
"Vitvi04g04006",58,-0.750289519408583,1.37448227308175e-07,0.000967085727340323,6.46880085177473e-07,TRUE
"Vitvi04g04007",56,0.854242196177249,3.4485174125585e-11,2.42637685147616e-07,7.42011269564575e-10,TRUE
"Vitvi04g04009",87,0.799794857867825,4.86784757509085e-09,3.42501755383392e-05,4.06771680977901e-08,TRUE
"Vitvi04g04010",52,-0.778309556517049,2.30216542281962e-08,0.000161980359149588,1.65286080764888e-07,TRUE
"Vitvi04g04011",60,-0.785585521852721,1.38740298314604e-08,9.76176738941552e-05,1.03408552853978e-07,TRUE
"Vitvi04g04012",61,-0.750289519408583,1.37448227308175e-07,0.000967085727340323,6.46880085177473e-07,TRUE
"Vitvi04g04013",196,-0.680818267611492,4.89147072878272e-06,0.0344163880477152,1.49027485470856e-05,TRUE
"Vitvi04g04014",27,-0.816811769737353,1.23759826433008e-09,8.70774138782648e-06,1.26935005653447e-08,TRUE
"Vitvi04g04015",64,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g04017",7,-0.624221522900733,4.73386834040076e-05,0.333074976430597,0.000107478211174765,FALSE
"Vitvi04g04018",58,-0.828419583471447,4.47341341951378e-10,3.1474936819699e-06,6.82753510188698e-09,TRUE
"Vitvi04g04019",58,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g04027",5,-0.736395269049165,3.06516025902312e-07,0.00215664675824867,1.29840262387036e-06,TRUE
"Vitvi04g04028",25,0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g04029",15,0.816811769737353,1.23759826433005e-09,8.70774138782626e-06,1.26935005653447e-08,TRUE
"Vitvi04g04030",21,0.816811769737353,1.23759826433005e-09,8.70774138782626e-06,1.26935005653447e-08,TRUE
"Vitvi04g04041",5,0.57399680266734,0.000251925466762095,1,0.000472049955829054,FALSE
"Vitvi04g04045",96,-0.595908959859492,0.00012570381227052,0.884452023135379,0.000252989709134834,FALSE
"Vitvi04g04055",93,-0.57638349405403,0.000234110207241294,1,0.000441017247161913,FALSE
"Vitvi04g04075",459,0.680989779962774,4.85429917249668e-06,0.0341548489776866,1.48305900901809e-05,TRUE
"Vitvi04g04079",20,-0.628199518174469,4.09518004842468e-05,0.28813686820716,9.49693039575347e-05,FALSE
"Vitvi04g04080",471,-0.704333281256375,1.6359408362812e-06,0.0115104797240745,5.65347727115644e-06,TRUE
"Vitvi04g04083",287,-0.694618339445942,2.6042175929932e-06,0.0183232749843001,8.40131819546086e-06,TRUE
"Vitvi04g04087",143,0.484754956984147,0.00273340432550801,1,0.00423472834636439,FALSE
"Vitvi04g04105",159,-0.412638183243226,0.0123836432952852,1,0.0150200507198116,FALSE
"Vitvi04g04149",6,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi04g04155",11,0.552682403185747,0.000473378889663964,1,0.000841064698064083,FALSE
"Vitvi04g04166",65,-0.74411429702662,1.9754523623761e-07,0.00138992828216782,8.81934189192792e-07,TRUE
"Vitvi04g04175",53,-0.280972618379346,0.0969204677522769,1,0.102700664323045,FALSE
"Vitvi04g04180",295,-0.645746403000758,2.10820008752169e-05,0.148332958158026,5.29571432195744e-05,FALSE
"Vitvi04g04191",46,-0.750289519408583,1.37448227308175e-07,0.000967085727340323,6.46880085177473e-07,TRUE
"Vitvi04g04209",808,-0.523772082433948,0.00104397040540408,1,0.00172629277847782,FALSE
"Vitvi04g04218",18,-0.892442489157479,2.67099144709296e-13,1.8793095821746e-09,7.51723832869841e-11,TRUE
"Vitvi04g04229",84,-0.609132556216191,8.05930710257105e-05,0.567052847736899,0.000170696221474082,FALSE
"Vitvi04g04232",67,-0.750289519408583,1.37448227308175e-07,0.000967085727340323,6.46880085177473e-07,TRUE
"Vitvi04g04237",1097,-0.750289519408583,1.37448227308175e-07,0.000967085727340323,6.46880085177473e-07,TRUE
"Vitvi04g04291",6,-0.67618685082502,5.99900909659352e-06,0.042209028003632,1.77797085103761e-05,TRUE
"Vitvi04g04295",9,-0.188656925638672,0.270494358476957,1,0.277110993920191,FALSE
"Vitvi04g04296",54,-0.816811769737353,1.23759826433008e-09,8.70774138782648e-06,1.26935005653447e-08,TRUE
"Vitvi04g04301",44,0.343452351803737,0.0402822983143647,1,0.0443754894222436,FALSE
"Vitvi04g04306",22,-0.487897282267239,0.00253992909673463,1,0.0039792788075317,FALSE
