"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g00102"	0.650892438415593	0.00597657696335728	0.1	0.0560778209229461	0.266215666327569	-0.650892438415593	"F6HFT5"
"Vitvi01g00103"	0.212253842016967	0.46553816613876	0.7	0.644458913856434	0.808540783898305	-0.212253842016967	"F6HFT4"
"Vitvi01g00104"	0.415223440780478	0.0129744356414523	0.1	0.0839169565746824	0.266215666327569	-0.41522344078048	"F6HFT3"
"Vitvi01g00105"	0.124269589013104	0.302526448936268	0.4	0.51228255740994	0.658298220237721	-0.124269589013104	"D7T9P2"
"Vitvi01g01862"	0.856620606285533	0.0282231033989822	0.1	0.127846701202695	0.266215666327569	-0.856620606285533	"A5BMU1"
"Vitvi01g00106"	0.00413429992859875	0.985406773646893	1	0.991544963262411	1	-0.00413429992859982	"D7T9P1"
"Vitvi01g04028"	0.77550790998132	0.00211076865467041	0.1	0.0359146325904226	0.266215666327569	-0.77550790998132	"D7FBB4"
"Vitvi01g01865"	0.110786218030525	0.785604203539888	1	0.874940477611411	1	-0.110786218030527	"F6HFT2"
"Vitvi01g00108"	0.0427528224920321	0.660168442408399	1	0.790231169873727	1	-0.0427528224920337	"A5B663"
"Vitvi01g01866"	0.0155627810458512	0.888138120480529	0.7	0.939019412297209	0.808540783898305	-0.015562781045853	"D7T9N8"
"Vitvi01g00110"	0.027143216357544	0.93191706600098	0.7	0.963241081451127	0.808540783898305	-0.027143216357544	"D7T9N6"
"Vitvi01g00111"	0.00763270240821096	0.893571782519417	1	0.941746734456777	1	-0.00763270240821101	"F6HFS9"
"Vitvi01g00112"	-0.0116871608265004	0.960603372870579	0.7	0.978076697316669	0.808540783898305	0.0116871608265008	"D7T9N2"
"Vitvi01g00113"	-0.137125774651588	0.125055652176117	0.2	0.306564998763167	0.416936190552059	0.137125774651587	"D7T9N0"
"Vitvi01g00114"	0.221998544782138	0.394429257221848	0.7	0.589313116313933	0.808540783898305	-0.22199854478214	"F6HF68"
"Vitvi01g04029"	0.0990702656910341	0.462965802124948	0.4	0.64241752350643	0.658298220237721	-0.0990702656910365	NA
"Vitvi01g04030"	0.0514299618009021	0.661151159849489	0.7	0.791005564033342	0.808540783898305	-0.0514299618009026	NA
"Vitvi01g00115"	0.159345821412498	0.314759338820243	0.7	0.524645677553309	0.808540783898305	-0.159345821412501	"D7T9M8"
"Vitvi01g00116"	-0.112510967348234	0.454285360237054	0.7	0.636106457918747	0.808540783898305	0.112510967348234	"F6HF67"
"Vitvi01g00119"	-0.00777317342136797	0.791353405491509	1	0.878501983977742	1	0.00777317342136641	"F6HF66"
"Vitvi01g04031"	0.0305417151889719	0.934185111476939	1	0.964556724491616	1	-0.0305417151889724	NA
"Vitvi01g00120"	-0.0987053531674708	0.0081513373414613	0.1	0.0658168302649493	0.266215666327569	0.0987053531674675	"D7T9M5"
"Vitvi01g00121"	-0.0654028005319352	0.334334747121986	0.7	0.541780048141387	0.808540783898305	0.0654028005319329	"A5B0U6"
"Vitvi01g00122"	0.0239207434768649	0.709448290786004	0.7	0.825460854783809	0.808540783898305	-0.023920743476868	"A5AHN8"
"Vitvi01g00124"	-0.135424276896002	0.0858539195501805	0.1	0.24512897159036	0.266215666327569	0.135424276896002	"D7T9M0"
"Vitvi01g00128"	0.0645645058660646	0.169757125595336	0.4	0.36629711483279	0.658298220237721	-0.0645645058660662	"D7T9L8"
"Vitvi01g01871"	0.208063446859417	0.00313168323154268	0.1	0.0422991629983606	0.266215666327569	-0.208063446859416	"F6HF62"
"Vitvi01g04032"	0.0120939700331374	0.864116484685364	0.7	0.924983199890837	0.808540783898305	-0.0120939700331374	"F6HF62"
"Vitvi01g01873"	0.0967562845468164	0.682356660946134	1	0.806348677367323	1	-0.0967562845468168	"F6HF62"
"Vitvi01g00129"	0.349107656230529	0.393905516822575	0.7	0.588866807753782	0.808540783898305	-0.34910765623053	"F6HLW7"
"Vitvi01g00130"	0.175466346189731	0.0261934198515167	0.1	0.122863524662904	0.266215666327569	-0.175466346189733	"F6HF61"
"Vitvi01g00131"	0.0356135195248752	0.635768018197927	0.7	0.772943239945188	0.808540783898305	-0.0356135195248761	"F6HF60"
"Vitvi01g00132"	0.0757360814329983	0.355886225711245	0.4	0.560393925063937	0.658298220237721	-0.0757360814329999	"F6HF59"
"Vitvi01g00133"	-0.0916480029629864	0.45583170540688	0.7	0.637044587385455	0.808540783898305	0.0916480029629874	"D7T9L4"
"Vitvi01g00134"	0.187392548657299	0.209924714747315	0.4	0.415766280195449	0.658298220237721	-0.1873925486573	"D7T9L3"
"Vitvi01g00135"	-0.000363014192635666	0.996045136408129	0.7	0.997818101353258	0.808540783898305	0.00036301419263296	"D7T9L2"
"Vitvi01g01874"	-0.104408295652371	0.358935019432514	0.4	0.562824047188535	0.658298220237721	0.104408295652371	"D7T9L1"
"Vitvi01g00136"	0.192533209324799	0.0954722977422374	0.2	0.261281184052914	0.416936190552059	-0.1925332093248	"A5BQJ0"
"Vitvi01g01875"	-0.0843735388355724	0.572571184890844	0.7	0.726055886873504	0.808540783898305	0.0843735388355702	"F6HF58"
