"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","pvalue_threshold_test","padj_threshold_test","FSOS_svalue","DE_primary_threshold_test","DE_zero_null_plus_effect_filter","DE_primary","leading_signal","genotype","timing","contrast"
"Vitvi13g00156",955.171324239005,1.61490263070745,1.43310289878135,0.449983309933942,3.76318993308996,0.000167759691877503,0.00142832519594646,0.0759430844047829,0.582018541400384,0.0461525449357501,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi04g00817",8.85449839204132,-5.64424397896385,-5.34857817206544,2.66539761156717,-3.76190613063502,0.00016862333756859,0.00143466590697902,0.000987474686238358,0.0274131094985932,0.0125723044939498,TRUE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi17g01555",51.837622168479,-1.93553423796622,-1.70837099256456,0.522579668275067,-3.76129415621285,0.000169036498342307,0.00143716760694205,0.0345313529418757,0.345057940908475,0.0233576506605391,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi16g01442",741.26633903331,-3.73763920518601,-3.19838310314752,1.03028727211745,-3.76085031534072,0.000169336743086182,0.00143921319969231,0.00293877003780985,0.0614363408637819,0.00364980948857118,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi17g00520",16.8061339284134,-4.12048412905529,-3.51181130860624,1.13743966265755,-3.76052510691842,0.000169557054977475,0.00144057823223644,0.00220203431744037,0.049634782316927,0.00302919754481045,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi00g04022",64.0500392519117,-2.31956956960444,-2.01462460895725,0.63344260140376,-3.75842333737648,0.000170987410111835,0.00145221936592343,0.0162538377865649,0.206604159099691,0.0137115540266223,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi03g00227",410.849627819215,2.31677305439695,1.99071279785581,0.674714821015911,3.75715014843967,0.000171859388130864,0.00145911160317017,0.016362858443013,0.207396705663201,0.0186394602804452,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi17g00975",3675.4498173869,-2.13338294057306,-1.8389862581164,0.607646990496394,-3.75661949176316,0.000172224056205889,0.0014616933704509,0.0229808574993183,0.260486953475481,0.0224935811968904,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi19g01351",234.194143575088,1.12048780125129,1.02971799422642,0.30325962333983,3.75622557952169,0.000172495223791019,0.00146348004741684,0.343138423054974,1,0.151389355751912,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi14g01735",536.657890284711,2.83853553997031,2.36327607700518,0.892254352331806,3.75418089643563,0.000173909239018738,0.00147495818217333,0.00751625342889463,0.120877377244248,0.0164678303950742,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi15g04494",160.962954456479,3.29142236716434,2.75229783642993,1.01731620279382,3.75308713144429,0.000174670108297473,0.00148041029665762,0.00449037049591276,0.0832845217575259,0.0102455821569032,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi04g00600",2200.10846664775,1.81821670644997,1.5823396820747,0.528734881312455,3.75308040894055,0.000174674794420997,0.00148041029665762,0.045616828902367,0.413592404478267,0.0370729805591452,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi10g02097",81.1192884708081,1.49117851015557,1.33545607456211,0.405213171848776,3.75264368240896,0.000174979481255423,0.00148247187612784,0.108214165042954,0.734234365121977,0.0572409644098389,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi06g00906",240.764752820792,2.63137802884372,2.21527438338652,0.80513612486172,3.75220662841007,0.000175284896867533,0.00148401729000586,0.0100024745793583,0.146613414534355,0.0172000043073355,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi09g04121",34.4865193245051,-1.89589328290549,-1.66643631431348,0.51894834027546,-3.75226340316795,0.000175245194058388,0.00148401729000586,0.0381052351425043,0.367181587768737,0.0264032107403038,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi09g01408",179.904313311391,-1.20898107319483,-1.10010854045099,0.323453640481191,-3.7508759963132,0.000176217838976649,0.0014903470861085,0.258374162896771,1,0.115849163079106,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi14g02659",1834.53876183362,-1.56690741651774,-1.39981730348257,0.425890929925707,-3.75015326658162,0.000176726519186346,0.00149412550155828,0.0874213986627788,0.637420778026986,0.0483570153964493,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi05g00472",6457.28447229279,1.35747496770277,1.22551975490254,0.377181505026185,3.74991431186033,0.000176895006647177,0.00149502613498765,0.161699880339678,0.950449961180818,0.078940778686345,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi14g04677",38.4978759445336,2.65484757338406,2.25421152242796,0.783770340916812,3.74963848525445,0.00017708968035754,0.00149614737302069,0.00971284796139131,0.143895214859016,0.0137616729464259,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi18g01253",3489.43555151612,1.78130513930944,1.55050369322655,0.5201565928288,3.74896088784273,0.000177568772733213,0.00149966990454312,0.0500523538879025,0.441655634529958,0.039620971448103,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi07g04439",1895.83316353682,1.36908942789941,1.24048777682181,0.362648961846498,3.74870997817655,0.000177746486354824,0.00150064554557577,0.156102656024886,0.930990288233978,0.0721699169826611,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi07g04304",4.73488433753482,5.56898195049976,5.56867749589069,1.96593634528047,3.74833606975334,0.00017801162754613,0.00150235836343497,0.00105649069168554,0.0286167293901011,0.00221394116444743,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi07g04391",77.9872160353954,4.34611919261888,3.47987518784913,1.43204343939176,3.74660749056101,0.000179242216616429,0.00151168662870948,0.00196189798298143,0.0457081245789797,0.00998691052809376,TRUE,TRUE,TRUE,TRUE,"Rpv12",0,"Rpv12|0"
"Vitvi05g01958",86.8905231788076,1.86525999357768,1.63637106552883,0.523141635243263,3.74513746203002,0.000180295030643216,0.00151897304273399,0.0411670525649476,0.386521253786044,0.0300912165845509,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi08g00877",831.361647436212,1.93538701285976,1.65420626152907,0.58993944195622,3.74494215991997,0.000180435340044896,0.00151909431958942,0.0351511148360022,0.348252413056785,0.0365276141761296,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi08g01858",144.09597368973,-1.15650264693365,-1.05832518622455,0.306033414317858,-3.74392464597675,0.000181168007083625,0.00152419903867531,0.306202621297291,1,0.134683002946311,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi18g00456",1514.2732447091,-1.09201018614965,-1.00232073148297,0.290624678846049,-3.74306225911619,0.000181791162953001,0.00152837594804633,0.37623599021698,1,0.166094938147302,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi18g02666",17.192979093711,2.872724272034,2.45859696918742,0.807427825142383,3.74229977566602,0.000182343807181302,0.00153248823527608,0.00735201081258853,0.118906954195276,0.00839503504898251,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi18g00101",692.797082092822,1.75813318185769,1.53132820897113,0.50856463208614,3.74189497915428,0.0001826378431566,0.00153442497128329,0.0533113671156504,0.46230218995387,0.040764718601412,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi16g04401",34.6760097476892,3.96008202187123,3.25177563858028,1.41831358942448,3.74135533228781,0.000183030524972724,0.00153665397949438,0.00258365776368329,0.0556451765711502,0.0143915730500109,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi19g01589",85.8644853293582,-2.90326174144685,-2.45101188239093,0.849802943495843,-3.7402598250487,0.000183830129026876,0.0015422938745791,0.00710418981811144,0.115995908990692,0.0105959064224731,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi08g02100",36.3529174166304,2.12774413551191,1.83871797191087,0.610851186093496,3.73955122776693,0.000184349077647389,0.00154557293069974,0.0237378488802417,0.266476832221917,0.0227465720825225,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi13g00495",809.999880078264,1.1299903911247,1.02413681953001,0.308838732811956,3.73958600186879,0.000184323578369726,0.00154557293069974,0.33352882061114,1,0.15370441301585,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi19g00865",11.0487229028045,-5.6280317535873,-5.39431099215471,2.65527690167119,-3.73851243315717,0.000185112339595864,0.00155143301219472,0.00106052025716368,0.0286653373198161,0.0117234669596203,TRUE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi15g04001",681.251978392085,2.48356808888965,2.11159019107153,0.736227535501007,3.73823133828402,0.000185319386225185,0.00155209006255727,0.0127730484728268,0.173207734135031,0.0171726453541044,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi05g00160",1535.05698671935,1.40078066907701,1.25742093572631,0.384208093767887,3.73751144109989,0.000185850635494851,0.00155439031259228,0.142456391778112,0.876464931668084,0.0716327321757934,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi07g00400",3467.1518275343,3.13831949729788,2.60012864676524,0.992506279267811,3.73742064110011,0.000185917743075285,0.00155440375005667,0.00544053343065761,0.0963896146048062,0.0132636933648868,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi05g01308",2407.63477426466,1.8270597604267,1.59732854514094,0.523651189836592,3.73643235346828,0.000186649631744834,0.00155998232226225,0.0453821018859039,0.412176544949435,0.0346812408485595,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
"Vitvi19g00388",623.071022205199,-3.072035350487,-2.60632569527961,0.894481140372924,-3.73617123731617,0.000186843456367942,0.00156106155079712,0.00586838074449754,0.101572088041232,0.00866653062855062,FALSE,TRUE,TRUE,FALSE,"Rpv12",0,"Rpv12|0"
